JobName, Success, Time start, time schedule, Time start Exec, Time End Exec, Tier, Type
Job182,1,500.675747,1000.023404,1017.951591,7744.221740,RAL,jobInfo->type
Job37,1,75.194936,1000.013454,1597.478803,8138.673719,CERN,jobInfo->type
Job84,1,194.125520,1000.014744,2519.201485,9422.435351,CNAF,jobInfo->type
Job48,1,105.046299,1000.013454,4371.089582,9736.366905,CERN,jobInfo->type
Job76,1,171.637217,1000.014744,4371.213631,10521.754313,CNAF,jobInfo->type
Job16,1,37.534742,1000.013454,5056.980485,10588.994438,CERN,jobInfo->type
Job189,1,514.272293,1000.023404,6353.237030,10957.644833,RAL,jobInfo->type
Job53,1,118.321048,1000.013454,5056.980485,10971.783491,CERN,jobInfo->type
Job71,1,162.216563,1000.014744,4080.910894,10974.950969,CNAF,jobInfo->type
Job35,1,69.892019,1000.013454,4868.115059,11236.272123,CERN,jobInfo->type
Job52,1,108.506453,1000.013454,6630.311981,11843.308331,CERN,jobInfo->type
Job171,1,471.213831,1000.023404,6353.237030,13869.022058,RAL,jobInfo->type
Job125,1,319.294330,1000.019074,1028.144803,16794.877817,IN2P3,jobInfo->type
Job118,1,307.364133,1000.016909,4733.804987,16806.854919,GRIDKA,jobInfo->type
Job219,1,608.532071,11000.014075,12571.284648,19768.786380,CERN,jobInfo->type
Job67,1,156.480150,1000.014744,2519.201485,20820.606768,CNAF,jobInfo->type
Job38,1,76.431162,1000.013454,1007.576384,21187.996097,CERN,jobInfo->type
Job192,1,528.770956,1000.023404,2430.824575,21624.631357,RAL,jobInfo->type
Job170,1,467.448810,1000.023404,3114.239156,21964.975708,RAL,jobInfo->type
Job136,1,348.170119,1000.019074,1008.795184,22435.118871,IN2P3,jobInfo->type
Job148,1,393.935561,1000.021239,1028.594072,22739.365955,PIC,jobInfo->type
Job10,1,27.261461,1000.012165,6629.862180,23561.487969,RRCKI,jobInfo->type
Job57,1,130.198337,1000.013454,1008.348632,23663.983449,CERN,jobInfo->type
Job160,1,436.154902,1000.023404,1017.951591,24004.574949,RAL,jobInfo->type
Job69,1,160.220282,1000.014744,5159.234094,24086.475692,CNAF,jobInfo->type
