JobName, Success, Time start, time schedule, Time start Exec, Time End Exec, Tier, Type
Job52,1,108.506453,1000.023404,1072.256279,6285.252628,RAL,jobInfo->type
Job48,1,105.046299,1000.025569,1025.984795,6391.262118,SARA,jobInfo->type
Job16,1,37.534742,1000.021239,1019.282470,6551.296423,PIC,jobInfo->type
Job53,1,118.321048,1000.021239,1019.282470,6934.085476,PIC,jobInfo->type
Job76,1,171.637217,1000.025569,1025.984795,7176.525477,SARA,jobInfo->type
Job35,1,69.892019,1000.019074,1044.471809,7412.628873,IN2P3,jobInfo->type
Job92,1,220.772463,1000.013454,1176.210124,7762.477945,CERN,jobInfo->type
Job182,1,500.675747,1000.023404,1072.256279,7798.526427,RAL,jobInfo->type
Job166,1,452.762894,1000.016909,1293.200855,7891.835956,GRIDKA,jobInfo->type
Job84,1,194.125520,1000.025569,1011.733855,7914.967721,SARA,jobInfo->type
Job71,1,162.216563,1000.025569,1023.170840,7917.210914,SARA,jobInfo->type
Job171,1,471.213831,1000.025569,1031.876355,8547.661382,SARA,jobInfo->type
Job143,1,375.060698,1000.014744,1162.368643,8766.070877,CNAF,jobInfo->type
Job115,1,303.580811,1000.019074,1276.693547,8795.104388,IN2P3,jobInfo->type
Job189,1,514.272293,7000.026651,7003.801974,11608.209776,SARA,jobInfo->type
Job118,1,307.364133,1000.014744,1021.934390,13094.984322,CNAF,jobInfo->type
Job185,1,504.283916,9000.015826,9025.111729,14458.713792,CNAF,jobInfo->type
Job75,1,168.236270,1000.013454,1176.210124,17004.262640,CERN,jobInfo->type
Job125,1,319.294330,1000.019074,1237.968003,17004.701017,IN2P3,jobInfo->type
Job10,1,27.261461,1000.023404,1072.256279,18003.882068,RAL,jobInfo->type
Job67,1,156.480150,1000.025569,1011.733855,19313.139138,SARA,jobInfo->type
Job170,1,467.448810,1000.019074,1023.566389,19874.302941,IN2P3,jobInfo->type
Job69,1,160.220282,1000.013454,1027.743644,19954.985243,CERN,jobInfo->type
Job169,1,466.337310,1000.016909,1293.200855,20355.151577,GRIDKA,jobInfo->type
Job14,1,36.663580,1000.023404,1061.101331,20364.863113,RAL,jobInfo->type
Job61,1,138.988712,1000.021239,1122.575046,20406.556482,PIC,jobInfo->type
Job151,1,405.938447,1000.016909,1293.200855,20739.847304,GRIDKA,jobInfo->type
Job262,1,750.813071,1000.023404,1067.428437,21082.905036,RAL,jobInfo->type
Job97,1,238.708674,1000.023404,1072.256279,21178.825001,RAL,jobInfo->type
Job38,1,76.431162,1000.013454,1027.743644,21208.163358,CERN,jobInfo->type
Job111,1,274.089991,1000.019074,1276.693547,21230.846487,IN2P3,jobInfo->type
Job153,1,409.336341,1000.025569,1031.876355,21798.648449,SARA,jobInfo->type
Job136,1,348.170119,1000.019074,1044.471809,22470.795496,IN2P3,jobInfo->type
Job90,1,217.575173,1000.019074,1044.471809,23080.809450,IN2P3,jobInfo->type
Job47,1,103.498790,1000.014744,1162.368643,23106.527443,CNAF,jobInfo->type
Job172,1,477.076220,1000.025569,1031.876355,23236.275229,SARA,jobInfo->type
Job58,1,130.231913,1000.019074,1035.309957,23416.454000,IN2P3,jobInfo->type
Job57,1,130.198337,1000.013454,1030.832638,23686.467455,CERN,jobInfo->type
Job160,1,436.154902,1000.023404,1072.256279,24058.879637,RAL,jobInfo->type
Job131,1,333.707399,1000.019074,1044.471809,24341.407436,IN2P3,jobInfo->type
Job186,1,506.981999,1000.019074,1023.566389,24432.882294,IN2P3,jobInfo->type
Job133,1,344.337388,1000.023404,1072.256279,24493.727952,RAL,jobInfo->type
Job104,1,246.347912,1000.016909,1293.200855,24497.352287,GRIDKA,jobInfo->type
Job34,1,69.877217,1000.021239,1123.792226,24900.397660,PIC,jobInfo->type
Job59,1,135.596988,1000.019074,1035.309957,25272.159826,IN2P3,jobInfo->type
Job82,1,190.985604,1000.019074,1276.693547,25520.854198,IN2P3,jobInfo->type
Job184,1,504.187400,1000.016909,1031.911188,25774.350252,GRIDKA,jobInfo->type
Job55,1,125.534852,1000.014744,1162.368643,25941.338289,CNAF,jobInfo->type
Job43,1,91.168213,1000.021239,1122.575046,26162.580638,PIC,jobInfo->type
Job99,1,239.440964,1000.025569,1011.733855,26179.113988,SARA,jobInfo->type
Job264,1,753.311472,22000.024486,22030.946144,26410.614748,IN2P3,jobInfo->type
Job62,1,146.650540,7000.022321,7006.864206,26723.427946,PIC,jobInfo->type
Job225,1,630.101365,1000.023404,1130.051967,27402.549051,RAL,jobInfo->type
Job135,1,346.654995,1000.025569,1023.170840,27919.593804,SARA,jobInfo->type
Job49,1,107.259592,1000.019074,1276.693547,28102.947192,IN2P3,jobInfo->type
Job114,1,286.990223,1000.019074,1276.693547,28401.512398,IN2P3,jobInfo->type
Job139,1,364.735778,1000.016909,1293.200855,28680.370542,GRIDKA,jobInfo->type
Job78,1,180.110331,1000.025569,1023.170840,28776.795582,SARA,jobInfo->type
Job126,1,322.717150,1000.014744,1165.938403,28830.878978,CNAF,jobInfo->type
Job132,1,340.474383,1000.023404,1110.009283,28907.656789,RAL,jobInfo->type
Job103,1,246.270570,1000.016909,1293.200855,29055.057148,GRIDKA,jobInfo->type
Job159,1,432.981016,1000.016909,1293.200855,29275.019143,GRIDKA,jobInfo->type
Job210,1,588.588014,1000.023404,1132.026263,29383.711719,RAL,jobInfo->type
Job83,1,191.761052,1000.023404,1061.101331,29483.105273,RAL,jobInfo->type
Job129,1,329.881407,8000.013661,8002.534776,29882.495379,CERN,jobInfo->type
Job134,1,344.956963,1000.019074,1044.471809,30430.789045,IN2P3,jobInfo->type
Job121,1,312.363642,1000.013454,1176.210124,30566.508545,CERN,jobInfo->type
Job109,1,267.515219,1000.019074,1237.968003,31108.592002,IN2P3,jobInfo->type
Job119,1,309.737956,1000.016909,1293.200855,31175.922178,GRIDKA,jobInfo->type
Job3,1,6.845418,1000.013454,1176.210124,31526.662464,CERN,jobInfo->type
Job165,1,451.268544,1000.023404,1072.256279,31663.887577,RAL,jobInfo->type
Job72,1,163.686903,1000.019074,1276.693547,31972.858252,IN2P3,jobInfo->type
Job24,1,52.108591,1000.021239,1123.792226,32183.779152,PIC,jobInfo->type
