JobName, Success, Time start, time schedule, Time start Exec, Time End Exec, Tier, Type
Job25,1,150.600794,1000.013454,1226.045077,7198.978301,CERN,jobInfo->type
Job0,1,1.308909,1000.013454,1226.045077,22410.973015,CERN,jobInfo->type
Job27,1,153.030164,1000.013454,1129.502878,24165.720522,CERN,jobInfo->type
Job31,1,172.567544,1000.013454,1129.502878,24237.259522,CERN,jobInfo->type
Job5,1,20.724983,1000.013454,3340.566006,24500.471033,CERN,jobInfo->type
Job22,1,143.408119,1000.013454,1693.522399,26880.440737,CERN,jobInfo->type
Job30,1,166.936206,1000.013454,1129.502878,27545.085593,CERN,jobInfo->type
Job19,1,134.722262,1000.013454,1129.502878,28495.030903,CERN,jobInfo->type
Job35,1,198.836985,1000.013454,3340.566006,30249.676389,CERN,jobInfo->type
Job4,1,19.606574,1000.012165,1024.745708,33210.257999,RRCKI,jobInfo->type
Job12,1,101.117000,1000.013454,1117.842444,33642.948868,CERN,jobInfo->type
Job9,1,75.281156,1000.013454,10699.906953,41522.920506,CERN,jobInfo->type
Job18,1,134.463530,1000.013454,10699.906953,46003.164154,CERN,jobInfo->type
Job14,1,110.443609,1000.013454,1823.361065,46167.358600,CERN,jobInfo->type
Job21,1,138.401055,1000.013454,3340.566006,48929.343444,CERN,jobInfo->type
Job1,1,13.789066,1000.013454,1514.704318,49867.285884,CERN,jobInfo->type
Job24,1,148.085259,1000.013454,1823.361065,56055.537335,CERN,jobInfo->type
Job23,1,148.061910,1000.012165,1000.013247,63532.802721,RRCKI,jobInfo->type
Job11,1,96.060754,1000.012165,1000.013247,75319.380904,RRCKI,jobInfo->type
Job2,1,16.552032,1000.012165,1000.013247,78504.622647,RRCKI,jobInfo->type
Job26,1,152.901496,1000.012165,1000.013247,84433.358294,RRCKI,jobInfo->type
Job8,1,65.188797,1000.012165,1000.013247,85028.800612,RRCKI,jobInfo->type
Job16,1,120.990222,1000.012165,1000.013247,86102.292347,RRCKI,jobInfo->type
Job28,1,154.661484,1000.012165,1000.013247,86220.945700,RRCKI,jobInfo->type
Job32,1,177.726213,1000.013454,1000.013661,88656.905073,CERN,jobInfo->type
Job36,1,201.966410,1000.013454,1000.013661,92015.490555,CERN,jobInfo->type
Job92,1,86884.907244,87000.071908,87305.767073,92125.591127,CERN,jobInfo->type
Job43,1,86629.560595,87000.070619,87002.464713,92553.251663,RRCKI,jobInfo->type
Job6,1,30.985509,1000.012165,1000.013247,92587.797482,RRCKI,jobInfo->type
Job10,1,81.081111,1000.012165,1000.013247,93222.690701,RRCKI,jobInfo->type
Job64,1,86708.581981,87000.071908,87052.718369,93221.440675,CERN,jobInfo->type
Job199,1,87358.344374,88000.129486,88199.583331,93282.929401,SARA,jobInfo->type
Job114,1,86986.279769,87000.107837,87316.008359,93583.481257,CNAF,jobInfo->type
Job15,1,116.546992,1000.012165,1000.013247,93683.986356,RRCKI,jobInfo->type
Job126,1,87032.526285,88000.111084,88087.215305,93835.379707,GRIDKA,jobInfo->type
Job90,1,86871.128486,87000.071908,87052.718369,94040.352199,CERN,jobInfo->type
Job152,1,87135.080587,88000.115414,88007.788153,94041.604335,PIC,jobInfo->type
Job252,1,87648.643381,88000.125156,88267.855307,94395.417308,RAL,jobInfo->type
Job151,1,87133.107426,88000.115414,88015.331995,94401.628882,PIC,jobInfo->type
Job155,1,87154.490962,88000.115414,88007.788153,94807.628835,PIC,jobInfo->type
Job17,1,125.862348,1000.012165,1000.013247,94849.786234,RRCKI,jobInfo->type
Job249,1,87632.595141,88000.125156,88237.188658,94924.942649,RAL,jobInfo->type
Job51,1,86649.796513,87000.071908,87295.010337,94972.214416,CERN,jobInfo->type
Job85,1,86846.484818,87000.107837,90415.857897,96715.104109,CNAF,jobInfo->type
Job75,1,86802.377965,87000.071908,87075.748684,96880.971453,CERN,jobInfo->type
Job200,1,87374.505660,94000.072784,94050.119607,96914.391881,RRCKI,jobInfo->type
Job260,1,87717.898582,95000.121909,95009.351377,97625.509936,PIC,jobInfo->type
Job7,1,47.622288,1000.012165,1000.013247,97895.445290,RRCKI,jobInfo->type
Job38,1,86610.917087,87000.107837,91789.926764,98454.964319,CNAF,jobInfo->type
Job29,1,159.808864,1000.013454,1000.013661,99478.424000,CERN,jobInfo->type
Job192,1,87330.837391,94000.072784,94050.119607,101178.039243,RRCKI,jobInfo->type
Job102,1,86933.594290,87000.107837,87394.623337,102272.328676,CNAF,jobInfo->type
Job66,1,86746.021475,87000.071908,87305.767073,103124.897504,CERN,jobInfo->type
Job148,1,87117.417255,88000.115414,88060.595877,103668.086680,PIC,jobInfo->type
Job3,1,17.295247,1000.012165,1000.013247,104093.363808,RRCKI,jobInfo->type
Job82,1,86840.234326,87000.107837,87873.115731,105619.198114,CNAF,jobInfo->type
Job161,1,87183.695346,88000.115414,88060.595877,105881.324136,PIC,jobInfo->type
Job47,1,86641.330937,87000.107837,87009.423912,106437.496233,CNAF,jobInfo->type
Job221,1,87490.478489,88000.129486,88035.548189,107690.691213,SARA,jobInfo->type
Job45,1,86632.011320,87000.071908,87079.470000,108003.316873,CERN,jobInfo->type
Job233,1,87555.199797,88000.125156,88267.855307,108055.658531,RAL,jobInfo->type
Job169,1,87231.099290,88000.113249,88017.587642,108429.965709,IN2P3,jobInfo->type
Job185,1,87296.848106,88000.129486,88199.583331,108462.651698,SARA,jobInfo->type
Job13,1,103.566791,1000.012165,1000.013247,108826.493533,RRCKI,jobInfo->type
Job173,1,87257.147550,88000.129486,88049.211023,109378.096969,SARA,jobInfo->type
Job54,1,86660.364655,87000.071908,87067.461782,109784.959665,CERN,jobInfo->type
Job101,1,86932.077347,87000.107837,87873.115731,110150.211462,CNAF,jobInfo->type
Job120,1,87000.022601,87000.110002,97449.403617,110232.912470,GRIDKA,jobInfo->type
Job20,1,135.114017,1000.012165,1000.013247,110704.513268,RRCKI,jobInfo->type
Job256,1,87670.809924,95000.132463,95003.674607,111170.109432,RAL,jobInfo->type
Job96,1,86906.493028,87000.071908,87067.461782,111673.526762,CERN,jobInfo->type
Job60,1,86683.821955,87000.071908,87252.096998,111989.296936,CERN,jobInfo->type
Job68,1,86753.058389,87000.071908,87318.535359,112043.053859,CERN,jobInfo->type
Job123,1,87016.257820,88000.111084,88085.013092,112665.701375,GRIDKA,jobInfo->type
Job94,1,86891.944330,87000.107837,87028.994720,112823.883015,CNAF,jobInfo->type
Job135,1,87057.320953,88000.115414,88007.788153,113047.670261,PIC,jobInfo->type
Job189,1,87317.672588,88000.129486,88210.631046,113326.881287,SARA,jobInfo->type
Job33,1,178.317309,1000.013454,1000.013661,113421.855657,CERN,jobInfo->type
Job244,1,87618.299280,97000.080361,97003.142474,113526.049168,RRCKI,jobInfo->type
Job223,1,87496.886029,95000.073866,95025.097819,113787.230513,RRCKI,jobInfo->type
