JobName, Success, Time start, time schedule, Time start Exec, Time End Exec, Tier, Type
Job43,1,1193.878075,2000.013661,2092.895291,4538.536410,CERN,jobInfo->type
Job41,1,1116.400977,2000.013661,2059.520071,4749.727516,CERN,jobInfo->type
Job14,1,462.607736,1000.012165,1022.062853,4984.809963,RRCKI,jobInfo->type
Job7,1,245.800613,1000.012165,1017.582873,6170.067898,RRCKI,jobInfo->type
Job37,1,1040.843103,2000.013661,2027.483790,7151.619618,CERN,jobInfo->type
Job85,1,1868.778581,2000.015826,2023.711191,7438.759600,CNAF,jobInfo->type
Job10,1,402.739861,1000.012165,1020.257438,8063.848630,RRCKI,jobInfo->type
Job175,1,3628.902418,4000.026651,4320.586431,8255.972490,RAL,jobInfo->type
Job71,1,1565.562915,2000.015826,2030.547258,8316.298088,CNAF,jobInfo->type
Job162,1,3355.414426,4000.026651,4040.252824,8544.883031,RAL,jobInfo->type
Job102,1,2100.273371,3000.019074,3071.636115,8622.452373,GRIDKA,jobInfo->type
Job94,1,2021.955238,3000.016909,3001.760221,8645.725879,CNAF,jobInfo->type
Job112,1,2187.364775,3000.019074,3028.536670,9817.465762,GRIDKA,jobInfo->type
Job44,1,1210.808119,2000.013661,2031.919962,10031.669973,CERN,jobInfo->type
Job206,1,4222.943819,5000.029899,5112.221166,10273.756124,SARA,jobInfo->type
Job199,1,4059.166070,5000.027734,5004.003391,12029.304900,RAL,jobInfo->type
Job58,1,1456.816139,2000.013661,2039.653379,17052.495906,CERN,jobInfo->type
Job124,1,2530.768707,3000.021239,3023.148619,18387.407116,IN2P3,jobInfo->type
Job115,1,2349.540220,3000.019074,3071.636115,19446.145507,GRIDKA,jobInfo->type
Job70,1,1564.657094,2000.015826,2036.125968,19943.871517,CNAF,jobInfo->type
Job100,1,2084.995444,3000.019074,3129.876000,20216.251058,GRIDKA,jobInfo->type
Job17,1,515.962603,1000.013454,1025.854310,20228.614816,CERN,jobInfo->type
Job76,1,1651.002843,2000.015826,2036.136668,20593.299358,CNAF,jobInfo->type
Job39,1,1063.958414,2000.013661,2043.199023,20667.918046,CERN,jobInfo->type
Job157,1,3214.897422,4000.026651,4083.140393,21276.251274,RAL,jobInfo->type
Job220,1,4600.329731,9000.015876,9004.579009,21745.742310,RRCKI,jobInfo->type
Job65,1,1537.914889,2000.013661,2027.483790,21974.982706,CERN,jobInfo->type
Job73,1,1575.263645,2000.015826,2120.891803,22757.248760,CNAF,jobInfo->type
Job167,1,3388.355847,4000.026651,4324.624017,22936.692324,RAL,jobInfo->type
Job4,1,90.549762,1000.012165,1031.975041,23024.858972,RRCKI,jobInfo->type
Job139,1,2787.071550,3000.021239,3125.678645,23221.513657,IN2P3,jobInfo->type
Job74,1,1576.858044,2000.015826,2025.201937,23312.358127,CNAF,jobInfo->type
