JobName, Success, Time start, time schedule, Time start Exec, Time End Exec, Tier, Type
Job3,1,17.005377,1000.013454,1087.833826,4359.909692,CERN,jobInfo->type
Job15,1,131.505773,1000.013454,1022.268638,6028.047608,CERN,jobInfo->type
Job70,1,516.393397,1000.016909,1298.739750,7119.594660,GRIDKA,jobInfo->type
Job36,1,268.343342,1000.014744,2476.895212,8049.198761,CNAF,jobInfo->type
Job77,1,569.985056,1000.016909,9809.579245,12954.007947,GRIDKA,jobInfo->type
Job103,1,739.425125,1000.014744,1020.631782,20886.138495,CNAF,jobInfo->type
Job1,1,9.413269,1000.014744,3200.605885,21128.737411,CNAF,jobInfo->type
Job42,1,292.070120,1000.013454,1048.530799,21286.448657,CERN,jobInfo->type
Job10,1,65.592263,1000.012165,1087.102392,22869.300403,RRCKI,jobInfo->type
Job56,1,406.009178,1000.013454,1220.194209,22963.303983,CERN,jobInfo->type
Job46,1,313.368012,1000.014744,4162.468551,24307.052133,CNAF,jobInfo->type
Job76,1,557.466456,1000.013454,1048.530799,24360.158757,CERN,jobInfo->type
Job78,1,570.623888,1000.016909,4287.071403,25298.788672,GRIDKA,jobInfo->type
Job68,1,515.781666,1000.016909,1060.609836,25608.776267,GRIDKA,jobInfo->type
Job73,1,531.123870,1000.016909,4287.071403,26126.057698,GRIDKA,jobInfo->type
Job26,1,200.517244,1000.014744,2799.306649,27029.799092,CNAF,jobInfo->type
Job89,1,635.389932,1000.016909,1012.418767,27107.706243,GRIDKA,jobInfo->type
Job16,1,133.063264,1000.012165,1100.612434,27763.788947,RRCKI,jobInfo->type
Job95,1,649.173180,1000.016909,4287.071403,28678.707927,GRIDKA,jobInfo->type
Job48,1,344.732916,1000.014744,1020.631782,28980.951301,CNAF,jobInfo->type
Job60,1,442.744167,1000.014744,1018.633308,30108.318941,CNAF,jobInfo->type
Job100,1,713.607007,1000.016909,1060.609836,30531.306720,GRIDKA,jobInfo->type
Job72,1,522.431573,1000.016909,4287.071403,31691.936956,GRIDKA,jobInfo->type
Job47,1,316.186972,1000.013454,1220.194209,32082.248625,CERN,jobInfo->type
Job2,1,15.967373,1000.012165,1103.534574,32231.206007,RRCKI,jobInfo->type
Job79,1,577.433684,1000.013454,1220.194209,32283.587537,CERN,jobInfo->type
