JobName, Success, Time start, time schedule, Time start Exec, Time End Exec, Tier, Type
Job143,1,720.435014,1000.023404,1351.768560,3262.480337,RAL,jobInfo->type
Job149,1,746.196745,1000.023404,1055.550631,3943.936868,RAL,jobInfo->type
Job2,1,32.747446,1000.013454,1098.425290,4251.365853,CERN,jobInfo->type
Job177,1,842.425884,1000.025569,1004.010615,5880.114816,SARA,jobInfo->type
Job24,1,139.897518,1000.014744,1372.958675,6321.633897,CNAF,jobInfo->type
Job16,1,105.247507,1000.012165,1002.324817,6923.807676,RRCKI,jobInfo->type
Job6,1,56.928686,1000.013454,1169.714920,7038.241417,CERN,jobInfo->type
Job142,1,719.018060,1000.016909,1131.345126,7261.461312,GRIDKA,jobInfo->type
Job42,1,211.823802,1000.014744,1038.385747,7421.398125,CNAF,jobInfo->type
Job29,1,157.754620,1000.016909,1021.356212,7585.831889,GRIDKA,jobInfo->type
Job147,1,743.961310,1000.019074,1261.490203,8022.333384,IN2P3,jobInfo->type
Job132,1,665.517642,1000.019074,1045.625591,8078.539184,IN2P3,jobInfo->type
Job30,1,159.823003,1000.013454,1040.119086,8348.229651,CERN,jobInfo->type
Job144,1,726.687726,1000.023404,1669.984328,8360.884414,RAL,jobInfo->type
Job219,1,1069.369465,2000.026651,2002.549384,8520.070159,SARA,jobInfo->type
Job93,1,461.984882,1000.014744,1033.580338,8672.225567,CNAF,jobInfo->type
Job145,1,727.087226,1000.019074,1261.490203,9035.677940,IN2P3,jobInfo->type
Job154,1,768.755820,1000.023404,1055.550631,9206.837520,RAL,jobInfo->type
Job204,1,1008.101875,4000.025569,4003.230654,9762.922561,RAL,jobInfo->type
Job137,1,705.803902,1000.023404,1351.768560,16435.708887,RAL,jobInfo->type
Job49,1,249.126040,1000.019074,1045.625591,17575.947085,IN2P3,jobInfo->type
Job8,1,65.626187,1000.013454,1063.108458,17988.481407,CERN,jobInfo->type
Job4,1,48.771911,1000.013454,1169.714920,18564.002629,CERN,jobInfo->type
Job90,1,436.886219,1000.016909,1027.289716,18724.173225,GRIDKA,jobInfo->type
Job46,1,231.155722,1000.016909,1027.289716,19006.296639,GRIDKA,jobInfo->type
Job192,1,934.302903,1000.023404,1055.550631,20493.708607,RAL,jobInfo->type
Job45,1,229.855128,1000.016909,1032.654239,20853.376802,GRIDKA,jobInfo->type
Job172,1,826.569894,1000.023404,1339.471668,20873.064701,RAL,jobInfo->type
Job44,1,227.092002,1000.013454,1066.322810,20983.160603,CERN,jobInfo->type
Job160,1,790.908402,1000.023404,1333.352085,21004.734416,RAL,jobInfo->type
Job14,1,95.193203,1000.014744,1372.958675,21068.966210,CNAF,jobInfo->type
Job170,1,823.824962,1000.023404,1131.903485,21311.964610,RAL,jobInfo->type
Job126,1,636.372112,1000.023404,1333.352085,21327.782411,RAL,jobInfo->type
Job64,1,339.997826,1000.013454,1098.425290,21815.082221,CERN,jobInfo->type
Job68,1,360.925601,1000.013454,1059.714140,22053.640979,CERN,jobInfo->type
Job148,1,744.533223,1000.021239,1008.889579,22171.290192,PIC,jobInfo->type
Job33,1,173.639823,1000.019074,1012.176305,22449.112479,IN2P3,jobInfo->type
Job188,1,888.061707,1000.025569,1056.945424,22490.191539,SARA,jobInfo->type
Job185,1,875.166171,1000.023404,1055.550631,22551.229255,RAL,jobInfo->type
Job89,1,436.060496,1000.013454,1169.714920,23055.623355,CERN,jobInfo->type
Job187,1,881.720803,1000.023404,1051.805107,23238.480285,RAL,jobInfo->type
Job200,1,972.448685,1000.025569,1004.010615,23441.287628,SARA,jobInfo->type
Job35,1,180.935070,1000.013454,1059.714140,23810.540395,CERN,jobInfo->type
Job25,1,141.587082,1000.014744,1372.958675,24085.978593,CNAF,jobInfo->type
Job169,1,820.288189,1000.023404,1333.352085,24253.660187,RAL,jobInfo->type
Job205,1,1010.831490,2000.026651,2002.019716,25146.902136,SARA,jobInfo->type
Job117,1,604.469602,1000.014744,1073.137215,25392.751194,CNAF,jobInfo->type
Job141,1,715.215969,1000.023404,1333.352085,25617.334585,RAL,jobInfo->type
Job118,1,606.432890,1000.016909,1110.647574,25844.585399,GRIDKA,jobInfo->type
Job116,1,589.614420,1000.014744,1053.581030,26059.222384,CNAF,jobInfo->type
Job230,1,1096.919398,9000.033146,9023.975786,26328.225172,SARA,jobInfo->type
