JobName, Success, Time start, time schedule, Time start Exec, Time End Exec, Tier, Type
Job36,1,181.317053,1000.013454,2266.401424,4936.648319,CERN,jobInfo->type
Job26,1,122.751998,1000.013454,1191.617321,8491.932827,CERN,jobInfo->type
Job194,1,997.781014,1000.023404,1723.146194,8559.563204,RAL,jobInfo->type
Job66,1,356.631868,1000.013454,2266.401424,8818.839268,CERN,jobInfo->type
Job104,1,545.146445,1000.016909,5728.150701,13348.788803,GRIDKA,jobInfo->type
Job164,1,863.683851,1000.023404,1284.046049,16027.421726,RAL,jobInfo->type
Job93,1,496.889582,1000.014744,1024.673450,18207.050817,CNAF,jobInfo->type
Job165,1,866.114609,1000.023404,1099.595110,19174.537597,RAL,jobInfo->type
Job91,1,480.539489,1000.014744,12522.211331,19561.679239,CNAF,jobInfo->type
Job43,1,198.454913,1000.013454,2266.401424,19698.600761,CERN,jobInfo->type
Job157,1,835.343629,1000.023404,13824.142665,20063.813141,RAL,jobInfo->type
Job168,1,880.348873,1000.023404,1284.046049,21695.664730,RAL,jobInfo->type
Job156,1,829.596931,1000.023404,19117.074817,21925.315674,RAL,jobInfo->type
Job208,1,1085.417343,2000.026651,2141.741997,22509.302067,SARA,jobInfo->type
Job87,1,462.554469,1000.014744,1051.284423,24722.694527,CNAF,jobInfo->type
Job7,1,47.387177,1000.012165,1031.316688,24734.189931,RRCKI,jobInfo->type
Job173,1,908.917472,1000.023404,19117.074817,25469.156890,RAL,jobInfo->type
Job35,1,177.901469,1000.013454,17932.546347,25482.699946,CERN,jobInfo->type
Job41,1,191.499097,1000.013454,2283.335666,26661.274409,CERN,jobInfo->type
Job186,1,964.274795,1000.023404,1205.080773,27514.756317,RAL,jobInfo->type
Job31,1,150.888253,1000.013454,2266.401424,27658.112537,CERN,jobInfo->type
Job167,1,876.359338,1000.023404,1712.077173,28983.751130,RAL,jobInfo->type
Job27,1,123.022157,1000.013454,1135.661903,30000.048901,CERN,jobInfo->type
Job193,1,997.645671,1000.023404,1099.595110,33121.223426,RAL,jobInfo->type
Job184,1,957.420014,1000.023404,1223.230698,34075.154190,RAL,jobInfo->type
Job207,1,1082.418333,2000.026651,6581.816377,34390.857657,SARA,jobInfo->type
Job5,1,44.451403,1000.012165,1241.309291,34472.755560,RRCKI,jobInfo->type
Job76,1,397.974599,1000.014744,1061.080122,34562.296140,CNAF,jobInfo->type
Job145,1,749.409107,1000.021239,1177.665684,35353.999483,PIC,jobInfo->type
Job103,1,542.619053,1000.016909,5672.725158,35709.184834,GRIDKA,jobInfo->type
Job57,1,285.713550,1000.013454,1953.430144,35827.772846,CERN,jobInfo->type
Job183,1,957.182334,1000.023404,1723.146194,36039.202045,RAL,jobInfo->type
Job69,1,367.131552,1000.014744,1051.284423,36556.968705,CNAF,jobInfo->type
Job155,1,804.684636,1000.023404,1099.595110,36923.117955,RAL,jobInfo->type
Job225,1,1175.017292,22000.029899,22021.921002,38330.910876,RAL,jobInfo->type
Job144,1,740.653143,1000.021239,18722.317098,38457.816008,PIC,jobInfo->type
Job148,1,759.124236,1000.021239,18722.317098,38483.697637,PIC,jobInfo->type
Job218,1,1127.096012,14000.017991,14017.889416,40658.665499,GRIDKA,jobInfo->type
Job115,1,580.109219,1000.016909,22784.303311,42084.896079,GRIDKA,jobInfo->type
Job151,1,797.880934,1000.023404,7129.402220,42489.789944,RAL,jobInfo->type
Job128,1,647.071398,1000.019074,18327.537192,42580.164477,IN2P3,jobInfo->type
Job226,1,1176.212880,22000.029899,22196.047000,42866.835842,RAL,jobInfo->type
Job231,1,1198.212241,26000.030981,37833.222648,43420.616408,RAL,jobInfo->type
Job29,1,132.603552,1000.013454,1215.463213,43791.265547,CERN,jobInfo->type
Job24,1,114.143590,1000.013454,20540.758464,44905.202752,CERN,jobInfo->type
Job34,1,172.451722,1000.013454,1191.617321,45062.060544,CERN,jobInfo->type
Job74,1,389.007184,1000.014744,22572.670166,48490.851193,CNAF,jobInfo->type
Job120,1,604.523354,1000.019074,21842.867627,49156.562010,IN2P3,jobInfo->type
Job4,1,43.377433,1000.012165,25755.356688,49538.234021,RRCKI,jobInfo->type
Job125,1,631.745369,1000.019074,18797.729649,50309.151462,IN2P3,jobInfo->type
Job30,1,143.397403,1000.013454,1191.617321,51458.660017,CERN,jobInfo->type
Job45,1,223.398999,1000.013454,1223.013617,52171.175327,CERN,jobInfo->type
Job32,1,168.053908,1000.013454,6464.927521,53538.595751,CERN,jobInfo->type
Job159,1,837.503029,1000.023404,1000.024486,55000.753047,RAL,jobInfo->type
Job62,1,317.517260,1000.013454,1190.864906,56072.933864,CERN,jobInfo->type
Job206,1,1073.809332,2000.026651,2000.027734,56092.948828,SARA,jobInfo->type
Job138,1,716.742449,1000.019074,32542.106893,56959.037456,IN2P3,jobInfo->type
Job147,1,758.273076,1000.021239,36063.913858,57393.420350,PIC,jobInfo->type
Job3,1,40.713333,1000.012165,1031.316688,57475.991632,RRCKI,jobInfo->type
Job119,1,599.085712,1000.019074,21842.867627,57494.912289,IN2P3,jobInfo->type
Job209,1,1085.550106,2000.026651,31869.439295,57530.112631,SARA,jobInfo->type
Job139,1,720.855829,1000.019074,1000.020156,59010.193636,IN2P3,jobInfo->type
Job178,1,935.996742,1000.023404,1284.046049,59784.106337,RAL,jobInfo->type
Job191,1,987.745100,1000.023404,1000.024486,62020.420900,RAL,jobInfo->type
Job182,1,949.498969,1000.023404,1000.024486,63730.190521,RAL,jobInfo->type
Job100,1,524.871686,1000.016909,1000.017991,64323.845408,GRIDKA,jobInfo->type
Job265,1,1320.204788,53000.016146,59622.331930,64424.189767,CERN,jobInfo->type
Job188,1,973.767788,1000.023404,36068.768674,64503.808651,RAL,jobInfo->type
Job233,1,1207.550261,28000.014697,28019.177401,65012.834922,CERN,jobInfo->type
Job169,1,886.437196,1000.023404,19117.074817,65118.777616,RAL,jobInfo->type
Job113,1,572.731361,1000.016909,58912.634039,65310.386288,GRIDKA,jobInfo->type
Job86,1,460.132157,1000.014744,1000.015826,66847.488592,CNAF,jobInfo->type
Job73,1,378.594238,1000.014744,1000.015826,67019.213135,CNAF,jobInfo->type
Job248,1,1261.373082,39000.024125,39180.733554,69082.666444,PIC,jobInfo->type
Job229,1,1191.395495,25000.017991,25034.985395,69640.961598,CNAF,jobInfo->type
Job243,1,1250.828328,36000.019074,41760.448414,70568.573588,GRIDKA,jobInfo->type
Job55,1,273.764015,1000.013454,21923.892073,70772.779873,CERN,jobInfo->type
Job130,1,653.922495,1000.019074,1000.020156,70849.924385,IN2P3,jobInfo->type
Job14,1,68.699083,1000.012165,1000.013247,71383.021519,RRCKI,jobInfo->type
Job96,1,501.497587,1000.016909,22784.303311,72322.410259,GRIDKA,jobInfo->type
Job121,1,611.610144,1000.019074,21842.867627,72554.626700,IN2P3,jobInfo->type
Job235,1,1224.785603,29000.033146,41556.237791,73000.724666,RAL,jobInfo->type
Job50,1,234.664964,1000.013454,1000.013661,73681.942010,CERN,jobInfo->type
Job185,1,962.402886,1000.023404,1000.024486,73792.587456,RAL,jobInfo->type
Job78,1,400.745453,1000.014744,1000.015826,74305.441328,CNAF,jobInfo->type
Job187,1,968.716895,1000.023404,12009.777517,75613.475467,RAL,jobInfo->type
Job196,1,1011.959515,2000.024486,2000.025569,75749.690797,RAL,jobInfo->type
Job212,1,1088.671293,2000.026651,2000.027734,75780.950810,SARA,jobInfo->type
Job89,1,472.227003,1000.014744,1000.015826,76301.996089,CNAF,jobInfo->type
Job149,1,770.661415,1000.021239,1000.022321,76528.741633,PIC,jobInfo->type
Job25,1,119.125505,1000.013454,1000.013661,76969.019643,CERN,jobInfo->type
Job291,1,1446.608422,71000.033814,71180.958999,77076.739762,IN2P3,jobInfo->type
Job245,1,1257.044572,37000.020156,58865.167909,77836.865430,CNAF,jobInfo->type
Job262,1,1297.269713,50000.025155,50141.740500,78273.332724,IN2P3,jobInfo->type
Job95,1,500.754608,1000.016909,1000.017991,78745.942958,GRIDKA,jobInfo->type
Job46,1,224.722817,1000.013454,1000.013661,78958.716519,CERN,jobInfo->type
Job234,1,1212.211645,28000.032064,28024.863575,79038.435533,RAL,jobInfo->type
Job108,1,559.049448,1000.016909,1000.017991,79176.095353,GRIDKA,jobInfo->type
Job177,1,930.655561,1000.023404,1000.024486,79418.719518,RAL,jobInfo->type
Job257,1,1283.352915,44000.047759,44211.103487,79876.971247,RAL,jobInfo->type
Job166,1,874.916004,1000.023404,22264.377517,80063.804520,RAL,jobInfo->type
Job106,1,553.754651,1000.016909,1000.017991,80099.890256,GRIDKA,jobInfo->type
