JobName, Success, Time start, time schedule, Time start Exec, Time End Exec, Tier, Type
Job156,1,829.596931,1000.025569,1175.891827,3984.132684,SARA,jobInfo->type
Job36,1,181.317053,1000.013454,3096.230269,5766.477163,CERN,jobInfo->type
Job157,1,835.343629,1000.021239,1090.879508,7330.549984,PIC,jobInfo->type
Job97,1,502.730676,1000.019074,2653.739800,7486.156297,IN2P3,jobInfo->type
Job173,1,908.917472,1000.025569,1175.891827,7527.973900,SARA,jobInfo->type
Job131,1,661.331725,1000.025569,1689.893726,7964.665900,SARA,jobInfo->type
Job91,1,480.539489,1000.016909,1040.189195,8079.657102,GRIDKA,jobInfo->type
Job26,1,122.751998,1000.013454,1267.064578,8567.380084,CERN,jobInfo->type
Job113,1,572.731361,1000.019074,2177.586441,8575.338690,IN2P3,jobInfo->type
Job82,1,429.613782,1000.019074,2653.739800,8610.626124,IN2P3,jobInfo->type
Job104,1,545.146445,1000.019074,1108.642655,8729.280757,IN2P3,jobInfo->type
Job194,1,997.781014,1000.023404,2010.323798,8846.740807,RAL,jobInfo->type
Job66,1,356.631868,1000.013454,3096.230269,9648.668113,CERN,jobInfo->type
Job35,1,177.901469,1000.023404,3175.775918,10725.929517,RAL,jobInfo->type
Job164,1,863.683851,1000.021239,1239.851286,15983.226963,PIC,jobInfo->type
Job59,1,303.712066,1000.014744,2297.067577,17848.490838,CNAF,jobInfo->type
Job93,1,496.889582,1000.014744,1080.153103,18262.530470,CNAF,jobInfo->type
Job71,1,375.736714,1000.013454,3137.660557,19039.765071,CERN,jobInfo->type
Job165,1,866.114609,1000.019074,1108.642655,19183.585142,IN2P3,jobInfo->type
Job133,1,678.071067,1000.025569,1689.893726,20293.477848,SARA,jobInfo->type
Job43,1,198.454913,1000.013454,3096.230269,20528.429606,CERN,jobInfo->type
Job144,1,740.653143,1000.025569,1175.891827,20911.390738,SARA,jobInfo->type
Job148,1,759.124236,1000.025569,1175.891827,20937.272367,SARA,jobInfo->type
Job168,1,880.348873,1000.021239,1239.851286,21651.469968,PIC,jobInfo->type
Job84,1,434.499474,1000.019074,2586.002833,22420.542322,IN2P3,jobInfo->type
Job231,1,1198.212241,18000.015826,18013.221392,23600.615152,CNAF,jobInfo->type
Job208,1,1085.417343,4000.026651,4141.741997,24509.302067,SARA,jobInfo->type
Job7,1,47.387177,1000.012165,1031.316688,24734.189931,RRCKI,jobInfo->type
Job87,1,462.554469,1000.014744,1186.596996,24858.007100,CNAF,jobInfo->type
Job198,1,1025.708438,2000.024486,2268.907718,24871.718293,RAL,jobInfo->type
Job4,1,43.377433,1000.014744,1261.674659,25044.551992,CNAF,jobInfo->type
Job225,1,1175.017292,9000.062176,9009.121431,25318.111305,RAL,jobInfo->type
Job28,1,127.373584,1000.014744,2302.500756,25356.378996,CNAF,jobInfo->type
Job128,1,647.071398,1000.025569,1175.891827,25428.519112,SARA,jobInfo->type
Job24,1,114.143590,1000.014744,1285.010277,25649.454565,CNAF,jobInfo->type
Job74,1,389.007184,1000.021239,1176.188774,27094.369802,PIC,jobInfo->type
Job116,1,580.698283,1000.023404,2067.945666,27128.127329,RAL,jobInfo->type
Job6,1,47.332292,1000.016909,1245.590267,27177.568757,GRIDKA,jobInfo->type
Job186,1,964.274795,1000.023404,1202.080155,27511.755699,RAL,jobInfo->type
Job41,1,191.499097,1000.013454,3137.660557,27515.599300,CERN,jobInfo->type
Job115,1,580.109219,1000.025569,8316.934226,27617.526994,SARA,jobInfo->type
Job42,1,192.093447,1000.014744,2297.067577,28441.789097,CNAF,jobInfo->type
Job31,1,150.888253,1000.013454,3096.230269,28487.941382,CERN,jobInfo->type
Job120,1,604.523354,1000.025569,1186.438306,28500.132689,SARA,jobInfo->type
Job218,1,1127.096012,2000.024486,2075.723414,28716.499497,RAL,jobInfo->type
Job167,1,876.359338,1000.021239,1525.205369,28796.879326,PIC,jobInfo->type
Job10,1,61.033678,1000.014744,2297.067577,28977.702839,CNAF,jobInfo->type
Job99,1,518.539640,1000.014744,2103.197114,29226.236682,CNAF,jobInfo->type
Job90,1,477.911093,1000.019074,2653.739800,29775.457204,IN2P3,jobInfo->type
Job226,1,1176.212880,9000.017991,9183.196947,29853.985788,GRIDKA,jobInfo->type
Job207,1,1082.418333,2000.024486,2048.227294,29857.268574,RAL,jobInfo->type
Job27,1,123.022157,1000.013454,1187.834304,30052.221302,CERN,jobInfo->type
Job102,1,540.141346,1000.025569,1689.893726,30511.744860,SARA,jobInfo->type
Job58,1,297.582578,1000.014744,2297.067577,30702.632009,CNAF,jobInfo->type
Job103,1,542.619053,1000.021239,1093.593405,31130.053081,PIC,jobInfo->type
Job125,1,631.745369,1000.023404,1145.004546,32656.426360,RAL,jobInfo->type
Job150,1,784.335906,1000.023404,1941.138591,32728.029784,RAL,jobInfo->type
Job179,1,940.001773,1000.025569,1690.709404,33081.568969,SARA,jobInfo->type
Job193,1,997.645671,1000.023404,1090.543235,33112.171551,RAL,jobInfo->type
Job77,1,398.301854,1000.013454,3118.915682,33316.409601,CERN,jobInfo->type
Job146,1,753.069890,1000.023404,2067.945666,33630.207424,RAL,jobInfo->type
Job147,1,758.273076,1000.025569,12546.850586,33876.357077,SARA,jobInfo->type
Job184,1,957.420014,1000.023404,1220.230080,34072.153572,RAL,jobInfo->type
Job111,1,567.122666,1000.019074,2441.800897,34213.329663,IN2P3,jobInfo->type
Job72,1,377.997801,1000.013454,2950.924188,34219.910189,CERN,jobInfo->type
Job5,1,44.451403,1000.012165,1241.309291,34472.755560,RRCKI,jobInfo->type
Job269,1,1335.975272,32000.028275,32192.599731,34519.626021,PIC,jobInfo->type
Job76,1,397.974599,1000.014744,1285.010277,34786.226295,CNAF,jobInfo->type
Job145,1,749.409107,1000.021239,1525.205369,35701.539169,PIC,jobInfo->type
Job203,1,1063.408860,9000.037476,9544.335610,35767.186485,IN2P3,jobInfo->type
Job98,1,503.168629,1000.019074,2586.002833,35872.199658,IN2P3,jobInfo->type
Job261,1,1295.603766,30000.074083,30211.193231,36133.979523,RAL,jobInfo->type
Job183,1,957.182334,1000.023404,2010.323798,36326.379648,RAL,jobInfo->type
Job57,1,285.713550,1000.013454,2546.621185,36420.963887,CERN,jobInfo->type
Job68,1,365.009098,1000.013454,2950.924188,36529.513009,CERN,jobInfo->type
Job151,1,797.880934,1000.019074,1177.444779,36537.832503,IN2P3,jobInfo->type
Job69,1,367.131552,1000.013454,1266.038557,36771.722839,CERN,jobInfo->type
Job119,1,599.085712,1000.025569,1186.438306,36838.482968,SARA,jobInfo->type
Job155,1,804.684636,1000.019074,1108.642655,36932.165500,IN2P3,jobInfo->type
Job138,1,716.742449,1000.025569,12546.850586,36963.781148,SARA,jobInfo->type
Job205,1,1065.466867,8000.022862,8183.944061,37784.104057,PIC,jobInfo->type
Job265,1,1320.204788,33000.075166,33017.946590,37819.804427,RAL,jobInfo->type
Job224,1,1159.250016,9000.037476,9542.870693,38352.742916,IN2P3,jobInfo->type
Job188,1,973.767788,10000.014075,10031.529277,38466.569253,CERN,jobInfo->type
Job291,1,1446.608422,37000.043971,37180.969155,43076.749918,IN2P3,jobInfo->type
Job236,1,1229.595607,24000.017991,24167.004027,43148.579043,CNAF,jobInfo->type
Job29,1,132.603552,1000.013454,1302.833416,43878.635751,CERN,jobInfo->type
Job245,1,1257.044572,26000.034228,26024.509864,44996.207385,SARA,jobInfo->type
Job34,1,172.451722,1000.013454,1267.064578,45137.507802,CERN,jobInfo->type
Job209,1,1085.550106,20000.014282,20031.529484,45692.202820,CERN,jobInfo->type
Job169,1,886.437196,1000.025569,1175.891827,47177.594626,SARA,jobInfo->type
Job32,1,168.053908,1000.016909,1049.149077,48122.817307,GRIDKA,jobInfo->type
Job33,1,169.768862,1000.014744,2297.067577,49459.623286,CNAF,jobInfo->type
Job55,1,273.764015,1000.021239,1176.188774,50025.076574,PIC,jobInfo->type
Job96,1,501.497587,1000.014744,1220.137513,50758.244461,CNAF,jobInfo->type
Job112,1,569.103057,1000.019074,2653.739800,50849.842626,IN2P3,jobInfo->type
Job232,1,1199.050713,19000.016909,19024.848421,51099.293601,CNAF,jobInfo->type
Job252,1,1270.943141,28000.071918,28192.643374,51498.114609,RAL,jobInfo->type
Job30,1,143.397403,1000.013454,1267.064578,51534.107274,CERN,jobInfo->type
Job121,1,611.610144,1000.025569,1186.438306,51898.197380,SARA,jobInfo->type
Job45,1,223.398999,1000.013454,1314.698337,52262.860046,CERN,jobInfo->type
Job235,1,1224.785603,23000.039641,23013.245206,54457.732081,IN2P3,jobInfo->type
Job243,1,1250.828328,26000.020156,26033.414349,54841.539524,CNAF,jobInfo->type
Job159,1,837.503029,1000.019074,1000.020156,55000.748717,IN2P3,jobInfo->type
Job238,1,1247.059641,22000.025027,22206.252895,55197.012888,PIC,jobInfo->type
Job249,1,1267.198873,26000.070836,26195.760084,55267.183415,RAL,jobInfo->type
Job229,1,1191.395495,11000.068671,11035.041487,55641.017690,RAL,jobInfo->type
Job297,1,1466.675803,39000.045053,39013.250619,56045.366389,IN2P3,jobInfo->type
Job206,1,1073.809332,2000.024486,2000.025569,56092.946663,RAL,jobInfo->type
Job62,1,317.517260,1000.013454,1266.038557,56148.107516,CERN,jobInfo->type
Job223,1,1157.882642,9000.037476,9542.870693,56326.700435,IN2P3,jobInfo->type
Job286,1,1417.119416,37000.078413,37385.220242,56720.873999,RAL,jobInfo->type
Job233,1,1207.550261,20000.038558,20019.202138,57012.859659,IN2P3,jobInfo->type
Job3,1,40.713333,1000.012165,1031.316688,57475.991632,RRCKI,jobInfo->type
Job246,1,1259.338634,26000.020156,26035.880291,57993.501262,CNAF,jobInfo->type
Job248,1,1261.373082,28000.014697,28180.723249,58082.656140,CERN,jobInfo->type
Job262,1,1297.269713,30000.022321,30141.801086,58273.393310,CNAF,jobInfo->type
Job139,1,720.855829,1000.016909,1000.017991,59010.191471,GRIDKA,jobInfo->type
Job276,1,1362.719686,35000.015619,35019.178324,59513.494321,CERN,jobInfo->type
Job178,1,935.996742,1000.023404,1281.045431,59781.105719,RAL,jobInfo->type
Job118,1,590.099519,1000.021239,1239.851286,60350.964785,PIC,jobInfo->type
Job266,1,1322.582278,31000.037476,31024.513111,60988.802216,SARA,jobInfo->type
Job83,1,432.780587,1000.023404,19850.708322,61147.473279,RAL,jobInfo->type
Job191,1,987.745100,1000.023404,1000.024486,62020.420900,RAL,jobInfo->type
Job272,1,1341.648808,34000.038558,34195.727806,62166.079193,SARA,jobInfo->type
Job295,1,1458.813654,38000.084908,38167.076356,63184.945354,RAL,jobInfo->type
Job182,1,949.498969,1000.023404,1000.024486,63730.190521,RAL,jobInfo->type
Job166,1,874.916004,6000.013661,6018.097737,63817.524740,CERN,jobInfo->type
Job304,1,1479.958777,45000.040723,45017.447287,64309.460849,SARA,jobInfo->type
Job100,1,524.871686,1000.014744,1000.015826,64323.843243,CNAF,jobInfo->type
Job257,1,1283.352915,29000.073001,29211.128729,64876.996488,RAL,jobInfo->type
