Name, Type, Flops-Size, InputFileName, InputSize, NRep, Storage_T, Location1, Location2, Location3, OutPut-Name, Output-Size, NRepOut, OutLoc1, OutLoc2, OutLoc3
Job0,DATASTRIPPING,158913789952,inp_0.DATASTRIPPING,2147483648,3,1,IN2P3,GRIDKA,RAL,out_0.DATASTRIPPING,1073741824,3,RAL,CNAF,SARA
Job1,MCSIMULATION,155692564480,inp_1.MCSIMULATION,0,0,1,0, 0, 0,out_1.MCSIMULATION,1073741824,3,IN2P3,RRCKI,GRIDKA
Job2,MCSIMULATION,198642237440,inp_2.MCSIMULATION,0,0,0,0, 0, 0,out_2.MCSIMULATION,1073741824,3,GRIDKA,SARA,CNAF
Job3,MCSIMULATION,202937204736,inp_3.MCSIMULATION,0,0,1,0, 0, 0,out_3.MCSIMULATION,1073741824,3,CNAF,GRIDKA,IN2P3
Job4,TURBO,192199786496,inp_4.TURBO,2147483648,3,0,GRIDKA,RRCKI,CERN,out_4.TURBO,1073741824,3,GRIDKA,RAL,SARA
Job5,TURBO,176093659136,inp_5.TURBO,1073741824,1,0,PIC,0,0,out_5.TURBO,1073741824,3,GRIDKA,RAL,SARA
Job6,MCSIMULATION,119185342464,inp_6.MCSIMULATION,0,0,1,0, 0, 0,out_6.MCSIMULATION,1073741824,3,CERN,SARA,CNAF
Job7,MCSIMULATION,187904819200,inp_7.MCSIMULATION,0,0,0,0, 0, 0,out_7.MCSIMULATION,1073741824,3,RRCKI,IN2P3,SARA
Job8,DATARECONSTRUCTION,208305913856,inp_8.DATARECONSTRUCTION,3221225472,2,1,CNAF,RAL,0,out_8.DATARECONSTRUCTION,1073741824,3,CNAF,GRIDKA,CERN
Job9,MCSIMULATION,108447924224,inp_9.MCSIMULATION,0,0,1,0, 0, 0,out_9.MCSIMULATION,1073741824,3,IN2P3,PIC,CERN
Job10,TURBO,196494753792,inp_10.TURBO,2147483648,3,1,CERN,PIC,RAL,out_10.TURBO,1073741824,3,IN2P3,CERN,RAL
Job11,MCSIMULATION,118111600640,inp_11.MCSIMULATION,0,0,1,0, 0, 0,out_11.MCSIMULATION,1073741824,3,PIC,GRIDKA,SARA
