Country,Federation,Pledge Type,ALICE,% of Req.,ATLAS,% of Req.,CMS,% of Req.,LHCb,% of Req.,SUM,% of Req.
Australia,University of Melbourne,CPU (HEP-SPEC06),,,11500,2%,,,,,11500,2%
Australia,University of Melbourne,Disk (Tbytes),,,1180,2%,,,,,1180,2%
Austria,Austrian Tier-2 Federation,CPU (HEP-SPEC06),,,1857,0%,10000,1%,,,11857,1%
Austria,Austrian Tier-2 Federation,Disk (Tbytes),,,120,0%,500,1%,,,620,1%
Belgium,Belgian Tier-2 Federation,CPU (HEP-SPEC06),,,,,32000,5%,,,32000,5%
Belgium,Belgian Tier-2 Federation,Disk (Tbytes),,,,,2950,8%,,,2950,8%
Brazil,SPRACE Sao Paulo,CPU (HEP-SPEC06),,,,,25200,4%,,,25200,4%
Brazil,SPRACE Sao Paulo,Disk (Tbytes),,,,,1450,4%,,,1450,4%
Canada,Canada-East Federation,CPU (HEP-SPEC06),,,14150,3%,,,,,14150,3%
Canada,Canada-East Federation,Disk (Tbytes),,,1800,3%,,,,,1800,3%
Canada,Canada-West Federation,CPU (HEP-SPEC06),,,14150,3%,,,,,14150,3%
Canada,Canada-West Federation,Disk (Tbytes),,,1800,3%,,,,,1800,3%
China,IHEP Beijing,CPU (HEP-SPEC06),,,5780,1%,5780,1%,,,11560,1%
China,IHEP Beijing,Disk (Tbytes),,,400,1%,540,1%,,,940,1%
Czech Republic,FZU AS Prague,CPU (HEP-SPEC06),5000,2%,15000,3%,,,,,20000,2%
Czech Republic,FZU AS Prague,Disk (Tbytes),1400,5%,1800,3%,,,,,3200,3%
Estonia,NICPB Tallinn,CPU (HEP-SPEC06),,,,,51000,7%,,,51000,7%
Estonia,NICPB Tallinn,Disk (Tbytes),,,,,1200,3%,,,1200,3%
Finland,NDGF/HIP Tier2,CPU (HEP-SPEC06),,,,,8000,1%,,,8000,1%
Finland,NDGF/HIP Tier2,Disk (Tbytes),,,,,630,2%,,,630,2%
France,CC-IN2P3 AF,CPU (HEP-SPEC06),,,,,7730,1%,,,7730,1%
France,CC-IN2P3 AF,Disk (Tbytes),,,,,510,1%,,,510,1%
France,CPPM Marseille,CPU (HEP-SPEC06),,,8000,1%,,,4000,5%,12000,2%
France,CPPM Marseille,Disk (Tbytes),,,900,1%,,,300,11%,1200,2%
France,GRIF Paris,CPU (HEP-SPEC06),7797,3%,19244,3%,19460,3%,6838,8%,53339,3%
France,GRIF Paris,Disk (Tbytes),858,3%,2448,3%,1056,3%,300,11%,4662,3%
France,IPHC Strasbourg,CPU (HEP-SPEC06),4000,2%,,,16000,2%,,,20000,2%
France,IPHC Strasbourg,Disk (Tbytes),290,1%,,,880,2%,,,1170,2%
France,LAPP Annecy,CPU (HEP-SPEC06),,,12500,2%,,,5100,6%,17600,3%
France,LAPP Annecy,Disk (Tbytes),,,1500,2%,,,2,0%,1502,2%
France,LPC Clermont-Ferrand,CPU (HEP-SPEC06),4430,2%,10556,2%,,,2014,2%,17000,2%
France,LPC Clermont-Ferrand,Disk (Tbytes),300,1%,1100,2%,,,2,0%,1402,1%
France,LPSC Grenoble,CPU (HEP-SPEC06),2646,1%,7811,1%,,,,,10457,1%
