JobName, Success, Time start, time schedule, Time start Exec, Time End Exec, Tier, Type
Job68,1,0.000000,0.044846,115.635538,132.497384,CERN,TURBO
Job67,1,0.000000,0.044846,2781.931417,3126.488531,CERN,MCRECONSTRUCTION
Job54,1,0.000000,0.044846,119.304696,3263.446259,CERN,USER
Job30,1,0.000000,0.035979,121.060964,3879.119031,SARA,USER
Job85,1,0.000000,0.053713,94.593208,3909.840024,CNAF,DATARECONSTRUCTION
Job29,1,0.000000,0.035979,1622.518476,4202.683420,SARA,DATARECONSTRUCTION
Job13,1,0.000000,0.018660,178.294745,4289.979017,RRCKI,USER
Job34,1,0.000000,0.044846,15.088967,4419.443170,CERN,USER
Job59,1,0.000000,0.044846,119.304696,4753.667096,CERN,DATARECONSTRUCTION
Job43,1,0.000000,0.044846,115.635538,4816.530310,CERN,USER
Job48,1,0.000000,0.044846,15.088967,5048.993610,CERN,USER
Job4,1,0.000000,0.018660,178.294745,5128.374145,RRCKI,USER
Job7,1,0.000000,0.018660,179.353452,5289.266320,RRCKI,USER
Job75,1,0.000000,0.044846,15.088967,5410.587637,CERN,USER
Job27,1,0.000000,0.035979,5381.898265,5640.490917,SARA,MCRECONSTRUCTION
Job39,1,0.000000,0.044846,2781.931417,5922.204656,CERN,DATARECONSTRUCTION
Job50,1,0.000000,0.044846,2781.931417,6217.310217,CERN,DATARECONSTRUCTION
Job64,1,0.000000,0.044846,2781.931417,7184.593359,CERN,USER
Job35,1,0.000000,0.044846,7206.299294,7238.829558,CERN,DATASTRIPPING
Job65,1,0.000000,0.044846,7206.299294,7558.391025,CERN,MCRECONSTRUCTION
Job12,1,0.000000,0.018660,4475.463101,7726.996513,RRCKI,DATARECONSTRUCTION
Job60,1,0.000000,0.044846,8124.724987,8468.802236,CERN,MCRECONSTRUCTION
Job41,1,0.000000,0.044846,5332.758415,8652.426304,CERN,DATARECONSTRUCTION
Job1,1,0.000000,0.018660,5397.889173,8918.372334,RRCKI,DATARECONSTRUCTION
Job23,1,0.000000,0.035979,5381.898265,9133.147117,SARA,USER
Job28,1,0.000000,0.035979,5381.898265,9151.457399,SARA,USER
Job18,1,0.000000,0.035979,5381.898265,9789.673385,SARA,USER
Job38,1,0.000000,0.044846,5332.758415,9881.092089,CERN,USER
Job69,1,0.000000,0.044846,7206.299294,9987.757693,CERN,USER
Job19,1,0.000000,0.035979,5381.898265,10022.497722,SARA,USER
Job9,1,0.000000,0.018660,5397.889173,10141.854930,RRCKI,USER
Job88,1,0.000000,0.053713,7195.870608,11716.961053,CNAF,USER
Job49,1,0.000000,0.044846,7206.299294,12012.215780,CERN,USER
Job91,1,0.000000,0.053713,7195.870608,12109.780096,CNAF,USER
Job86,1,0.000000,0.053713,7195.870608,13110.338150,CNAF,USER
Job90,1,0.000000,0.053713,7195.870608,13217.681496,CNAF,USER
Job61,1,0.000000,0.044846,7206.299294,13844.796435,CERN,USER
Job93,1,0.000000,0.053713,0.062373,14823.962977,CNAF,MCSIMULATION
