JobName, Success, Time start, time schedule, Time start Exec, Time End Exec, Tier
Job36,1,301.091759,1000.013454,1009.185400,7068.948200,CERN
Job95,1,663.845590,1000.016909,1613.898681,8442.057523,GRIDKA
Job21,1,197.595744,1000.013454,3989.428165,8984.352049,CERN
Job24,1,220.758308,1000.013454,4268.779184,9611.360551,CERN
Job101,1,710.366916,1000.016909,8609.388601,13810.027183,GRIDKA
Job99,1,695.518473,1000.016909,8609.388601,14866.748052,GRIDKA
Job2,1,17.471897,1000.012165,3939.483201,17389.809280,RRCKI
Job25,1,221.523259,1000.013454,13852.820081,18282.067215,CERN
Job51,1,396.695488,1000.013454,13852.820081,21444.167300,CERN
Job43,1,340.989105,1000.013454,10798.694833,21529.363402,CERN
Job35,1,298.571492,1000.013454,1014.382549,23324.192614,CERN
Job73,1,569.111148,1000.014744,3967.440300,23659.681109,CNAF
Job88,1,629.240061,1000.014744,1008.852821,24214.422021,CNAF
Job12,1,119.031903,1000.012165,4268.766402,26567.183658,RRCKI
Job70,1,524.491777,1000.014744,9673.821155,28380.588829,CNAF
Job56,1,419.580980,1000.013454,13852.820081,29495.825122,CERN
Job63,1,454.266175,1000.013454,8166.855041,30252.805425,CERN
Job30,1,250.607748,1000.013454,8166.855041,31745.504639,CERN
Job60,1,450.597342,1000.013454,8135.386122,31760.816232,CERN
Job40,1,334.836413,1000.013454,3989.428165,33182.509510,CERN
Job54,1,405.955819,1000.013454,11009.813404,33241.062794,CERN
Job4,1,39.033788,1000.012165,17411.287373,35440.081213,RRCKI
Job72,1,545.505794,1000.014744,10996.141788,36040.119753,CNAF
Job86,1,624.805380,1000.014744,17437.507483,37364.174631,CNAF
Job34,1,295.112022,1000.013454,13694.497755,37895.020810,CERN
Job74,1,571.867699,1000.014744,8609.378264,39601.431627,CNAF
Job96,1,667.045163,1000.016909,9673.825290,40709.786883,GRIDKA
Job28,1,239.494020,1000.013454,9995.824806,40842.901313,CERN
Job82,1,606.317381,1000.014744,8609.378264,41021.653184,CNAF
Job49,1,382.943155,1000.013454,3989.428165,41466.074573,CERN
Job92,1,639.321322,1000.014744,17437.507483,41661.420622,CNAF
Job39,1,322.507698,1000.013454,17411.425172,44332.625674,CERN
Job38,1,311.347931,1000.013454,3989.428165,45440.464168,CERN
Job106,1,737.888985,1000.016909,8121.054253,45668.100805,GRIDKA
Job6,1,64.047702,1000.012165,11736.123751,52253.554452,RRCKI
Job103,1,713.058034,1000.016909,3988.581993,52558.442296,GRIDKA
Job55,1,418.820142,1000.013454,49864.179912,54121.704520,CERN
Job104,1,731.851891,1000.016909,35266.444539,54285.653025,GRIDKA
Job10,1,84.118811,1000.012165,35266.406187,55441.965969,RRCKI
Job75,1,577.790717,1000.014744,8121.042333,55869.129619,CNAF
Job58,1,422.446979,1000.013454,8135.386122,56281.176798,CERN
Job3,1,22.190597,1000.012165,10798.681877,56789.818064,RRCKI
Job61,1,453.442381,1000.013454,49864.179912,56831.082559,CERN
Job87,1,627.461682,1000.014744,27195.633090,58225.978276,CNAF
Job31,1,258.344610,1000.013454,25347.725758,59435.651996,CERN
Job17,1,178.253713,1000.013454,13852.820081,59624.736188,CERN
Job33,1,261.607265,1000.013454,9995.824806,61759.056247,CERN
Job13,1,120.168225,1000.012165,10996.019007,63065.275445,RRCKI
Job62,1,453.847441,1000.013454,11009.813404,64803.660871,CERN
Job76,1,580.266507,1000.014744,1000.015826,66931.492106,CNAF
Job64,1,475.402114,1000.013454,49864.179912,67160.243178,CERN
Job1,1,12.001518,1000.012165,9873.987276,67422.688117,RRCKI
Job68,1,498.459012,1000.014744,48956.698266,67718.693215,CNAF
Job79,1,597.497741,1000.014744,1000.015826,67843.739978,CNAF
Job50,1,383.999481,1000.013454,9995.824806,68140.749381,CERN
Job83,1,606.914296,1000.014744,1000.015826,68205.007513,CNAF
Job11,1,90.475336,1000.012165,36466.825119,68372.854698,RRCKI
Job66,1,489.139247,1000.013454,49864.179912,68677.528688,CERN
Job47,1,349.566230,1000.013454,13852.820081,69363.646654,CERN
Job97,1,678.951054,1000.016909,1000.017991,72184.209677,GRIDKA
Job42,1,338.703803,1000.013454,35266.442876,73494.593266,CERN
Job65,1,481.781834,1000.013454,1000.013661,74467.582899,CERN
Job8,1,76.945559,1000.012165,1000.013247,74686.307790,RRCKI
Job14,1,138.470901,1000.012165,48956.391320,76615.018579,RRCKI
Job18,1,184.017750,1000.013454,1000.013661,78091.404397,CERN
Job19,1,186.541561,1000.013454,1000.013661,78882.742032,CERN
Job46,1,347.741048,1000.013454,1000.013661,79417.342074,CERN
Job105,1,734.723273,1000.016909,1000.017991,80431.917984,GRIDKA
Job84,1,610.173410,1000.014744,1000.015826,80535.531711,CNAF
Job7,1,71.296782,1000.012165,1000.013247,82117.888414,RRCKI
Job107,1,755.353422,1000.016909,1000.017991,82868.072361,GRIDKA
Job45,1,344.997656,1000.013454,1000.013661,83012.950203,CERN
Job102,1,711.417637,1000.016909,1000.017991,85006.708509,GRIDKA
Job53,1,404.827056,1000.013454,1000.013661,86452.702852,CERN
Job94,1,661.501244,1000.014744,1000.015826,86884.235510,CNAF
Job27,1,230.279591,1000.013454,1000.013661,88183.081067,CERN
Job80,1,603.472329,1000.014744,1000.015826,88216.746422,CNAF
Job9,1,77.846183,1000.012165,1000.013247,89143.720003,RRCKI
Job91,1,637.053682,1000.014744,1000.015826,89248.178624,CNAF
Job41,1,338.070941,1000.013454,1000.013661,89440.847275,CERN
Job52,1,401.957597,1000.013454,1000.013661,90787.272942,CERN
Job81,1,605.931205,1000.014744,1000.015826,91895.383136,CNAF
Job26,1,224.242472,1000.013454,1000.013661,94211.559653,CERN
Job89,1,632.270424,1000.014744,1000.015826,94335.085557,CNAF
Job5,1,42.423093,1000.012165,1000.013247,95260.484765,RRCKI
Job37,1,311.214325,1000.013454,1000.013661,96012.715486,CERN
Job117,1,87213.177600,88000.047887,93160.362334,96186.152957,RRCKI
Job146,1,87377.100223,88000.073612,89687.619004,96331.706322,CERN
Job23,1,208.188634,1000.013454,1000.013661,96437.656377,CERN
Job32,1,259.198060,1000.013454,1000.013661,96501.927281,CERN
Job69,1,519.837936,1000.014744,1000.015826,96572.807548,CNAF
Job59,1,443.062807,1000.013454,1000.013661,96844.312474,CERN
Job90,1,632.635521,1000.014744,1000.015826,97697.986823,CNAF
Job71,1,525.551257,1000.014744,1000.015826,98193.024108,CNAF
Job0,1,7.281723,1000.012165,1000.013247,98254.884222,RRCKI
Job131,1,87297.869676,88000.072322,93039.659857,99142.990515,CNAF
Job29,1,250.287743,1000.013454,1000.013661,99309.824089,CERN
Job197,1,87772.604044,88000.120105,94474.055188,100363.294373,IN2P3
Job44,1,343.511439,1000.013454,1000.013661,100553.417677,CERN
Job16,1,173.340488,1000.013454,1000.013661,100742.265112,CERN
Job48,1,359.165981,1000.013454,1000.013661,101420.757011,CERN
Job85,1,615.945647,1000.014744,1000.015826,101655.883242,CNAF
Job154,1,87447.001356,88000.073612,98813.424206,103333.633284,CERN
Job113,1,87174.743290,88000.047887,96720.082753,103490.049763,RRCKI
Job93,1,653.368852,1000.014744,1000.015826,103966.551935,CNAF
Job57,1,420.667464,1000.013454,1000.013661,104752.209525,CERN
Job67,1,498.223798,1000.014744,1000.015826,105603.565700,CNAF
Job22,1,198.611833,1000.013454,1000.013661,108653.465294,CERN
Job136,1,87313.850963,88000.073612,90322.827440,109492.179343,CERN
Job15,1,169.634626,1000.012165,1000.013247,110944.133704,RRCKI
Job178,1,87627.056404,88000.116857,88033.954969,111819.347251,GRIDKA
Job100,1,705.882919,1000.016909,1000.017991,113022.879216,GRIDKA
Job78,1,595.143149,1000.014744,1000.015826,114679.918363,CNAF
Job20,1,187.742579,1000.013454,1000.013661,115377.328700,CERN
Job128,1,87278.581011,88000.072322,98354.104201,116026.527862,CNAF
Job142,1,87361.076970,88000.073612,94379.413826,118354.813187,CERN
Job122,1,87230.107957,88000.072322,93039.659857,118507.675063,CNAF
Job195,1,87765.449917,88000.120105,113437.910969,118956.939370,IN2P3
Job98,1,695.203864,1000.016909,1000.017991,119600.828889,GRIDKA
Job120,1,87224.113948,88000.072322,96721.366203,119881.900101,CNAF
Job132,1,87303.064706,88000.072322,93163.400796,121772.014929,CNAF
Job176,1,87621.663006,88000.116857,88092.127050,122387.377176,GRIDKA
Job162,1,87483.170434,88000.073612,99771.852099,122663.699549,CERN
Job166,1,87506.222330,88000.073612,118331.954220,124190.725147,CERN
Job77,1,583.384935,1000.014744,1000.015826,126939.274951,CNAF
