JobName, Success, Time start, time schedule, Time start Exec, Time End Exec, Tier
Job32,1,115.817782,1000.016909,1079.008735,3318.968002,GRIDKA
Job227,1,788.745831,1000.023404,1297.787614,4094.546568,RAL
Job25,1,93.743884,1000.023404,1297.787614,5136.083754,RAL
Job29,1,108.907063,1000.019074,1115.493878,7004.158587,IN2P3
Job61,1,215.590265,1000.021239,1186.418474,7021.243087,PIC
Job100,1,317.545617,1000.014744,1254.759276,7273.384951,CNAF
Job102,1,319.617011,1000.023404,1220.835158,7429.077027,RAL
Job162,1,545.971191,1000.023404,1278.653038,7729.353238,RAL
Job229,1,799.961174,1000.023404,1263.944134,8160.960834,RAL
Job165,1,552.062973,4000.017991,4006.095285,9143.532487,GRIDKA
Job131,1,432.895456,1000.014744,3227.992243,9560.917331,CNAF
Job105,1,328.276330,1000.014744,3216.221992,9939.798144,CNAF
Job85,1,276.618575,8000.022321,8022.787178,14215.663315,PIC
Job201,1,698.832760,1000.025569,2295.810286,16286.225133,SARA
Job9,1,30.741728,1000.023404,1122.461320,18587.050734,RAL
Job11,1,57.883650,1000.016909,1079.008735,19311.673726,GRIDKA
Job166,1,559.368959,1000.025569,2295.810286,19891.671565,SARA
Job45,1,164.229078,1000.016909,1079.008735,20710.984598,GRIDKA
Job86,1,278.881523,1000.023404,2995.827361,20794.781443,RAL
Job150,1,504.673526,1000.016909,1079.008735,21240.815712,GRIDKA
Job50,1,187.873563,1000.014744,3216.221992,21626.036720,CNAF
Job7,1,24.493381,1000.021239,1186.418474,22169.156453,PIC
Job123,1,393.264278,1000.016909,1079.008735,22546.831656,GRIDKA
Job80,1,267.089769,1000.016909,1666.749728,22696.803385,GRIDKA
Job46,1,171.185237,1000.016909,1079.008735,23088.720044,GRIDKA
Job97,1,311.187638,1000.025569,1264.452612,23298.486759,SARA
Job230,1,800.164396,1000.025569,2295.810286,23461.080374,SARA
Job173,1,573.667289,1000.023404,2845.936788,23824.128407,RAL
Job94,1,302.501506,1000.014744,3183.426659,24310.131571,CNAF
Job130,1,431.578207,1000.016909,1666.749728,24514.195319,GRIDKA
Job72,1,249.480167,1000.016909,1079.008735,24957.572270,GRIDKA
Job63,1,222.357250,1000.019074,1115.493878,25516.889356,IN2P3
Job185,1,611.128579,1000.023404,3021.518772,25567.496199,RAL
Job44,1,162.452264,1000.016909,1163.179244,26363.486033,GRIDKA
Job16,1,71.854661,1000.012165,1188.783588,26373.927665,RRCKI
Job177,1,587.842157,20000.020156,20155.609774,26571.464689,GRIDKA
Job256,1,954.409220,24000.028816,24191.167604,26986.244053,SARA
