JobName, Success, Time start, time schedule, Time start Exec, Time End Exec, Tier
Job68,1,329.647740,1000.014744,2753.781052,7086.773139,CNAF
Job75,1,372.523977,1000.014744,10732.972557,16172.214824,CNAF
Job10,1,65.470678,1000.012165,1019.339117,19221.033809,RRCKI
Job168,1,902.676426,1000.023404,16698.387070,19550.528498,RAL
Job105,1,558.925683,1000.016909,1097.388191,20041.885009,GRIDKA
Job176,1,944.800491,1000.023404,1190.610776,20213.575160,RAL
Job158,1,828.734344,1000.023404,1190.610776,20239.064602,RAL
Job167,1,898.038435,1000.023404,1221.002673,24608.366168,RAL
Job156,1,825.482505,1000.023404,1190.610776,24712.120815,RAL
Job170,1,918.258340,1000.023404,1221.002673,24731.966001,RAL
Job52,1,244.654269,1000.013454,5855.734710,26134.603192,CERN
Job82,1,430.948090,1000.014744,22205.495728,26905.733227,CNAF
Job98,1,508.527804,1000.016909,1097.388191,27194.915685,GRIDKA
Job102,1,531.084159,1000.016909,1402.776987,28208.368580,GRIDKA
Job56,1,262.623634,1000.013454,10706.181507,28421.997397,CERN
Job171,1,924.815697,1000.023404,1170.434176,28501.518618,RAL
Job57,1,268.982438,1000.013454,10706.181507,28548.396632,CERN
Job8,1,55.120973,1000.012165,12748.572623,29915.729513,RRCKI
Job184,1,994.952771,1000.023404,1221.002673,29931.653641,RAL
Job116,1,647.905634,1000.016909,1097.388191,30050.962734,GRIDKA
Job183,1,989.596245,1000.023404,1221.002673,32247.844431,RAL
Job33,1,145.651372,1000.013454,1222.593311,33363.428498,CERN
Job85,1,434.174205,1000.014744,1303.396521,33815.501588,CNAF
Job175,1,941.316524,1000.023404,1190.610776,33872.429596,RAL
Job164,1,891.892629,1000.023404,1203.828117,35414.045994,RAL
Job188,1,1019.803282,2000.024486,13799.491102,35756.139538,RAL
Job81,1,427.371642,1000.014744,10732.972557,36303.688477,CNAF
Job80,1,425.722323,1000.014744,10732.972557,37119.934451,CNAF
Job192,1,1047.092399,2000.024486,13799.491102,39329.554925,RAL
Job107,1,576.628538,1000.016909,1428.163669,42855.221230,GRIDKA
Job84,1,433.654341,1000.014744,16741.908699,43555.324465,CNAF
Job77,1,406.314737,1000.014744,1346.892355,44915.342363,CNAF
Job154,1,822.966151,1000.023404,1428.886528,44943.563620,RAL
Job151,1,815.099286,1000.023404,1496.867513,47503.489505,RAL
Job73,1,343.616421,1000.014744,16741.908699,47902.190011,CNAF
Job59,1,278.496812,1000.013454,24202.584942,48150.765846,CERN
Job173,1,933.958112,1000.023404,1202.626653,49213.796075,RAL
Job118,1,662.653084,1000.016909,1100.107541,55822.555793,GRIDKA
Job165,1,894.978958,1000.023404,29267.739534,58201.133781,RAL
Job91,1,463.265143,1000.014744,1000.015826,58750.239622,CNAF
Job135,1,743.532494,1000.019074,1000.020156,60158.619498,IN2P3
Job47,1,214.750117,1000.013454,24202.584942,60675.018818,CERN
Job41,1,194.251365,1000.013454,16698.243777,63128.655503,CERN
Job44,1,200.398361,1000.013454,1000.013661,63764.139682,CERN
Job163,1,870.016658,1000.023404,1000.024486,65402.801893,RAL
Job110,1,587.858989,1000.016909,5855.796735,66643.021570,GRIDKA
Job108,1,580.630675,1000.016909,23886.536491,69715.436314,GRIDKA
Job88,1,448.553238,1000.014744,1000.015826,69816.822328,CNAF
Job43,1,199.681951,1000.013454,24202.584942,74606.440455,CERN
Job100,1,513.241746,1000.016909,1000.017991,74964.546479,GRIDKA
Job15,1,73.572340,1000.012165,1000.013247,75727.102511,RRCKI
Job161,1,846.933924,1000.023404,1000.024486,76245.639362,RAL
Job64,1,304.054709,1000.013454,1000.013661,76320.719902,CERN
Job179,1,963.409796,1000.023404,12750.504532,77388.785931,RAL
Job40,1,186.082883,1000.013454,1000.013661,77535.451576,CERN
Job132,1,725.506569,1000.019074,1000.020156,77642.037935,IN2P3
Job128,1,714.347651,1000.019074,1000.020156,78039.151909,IN2P3
Job29,1,130.366279,1000.013454,1000.013661,78170.537682,CERN
Job49,1,230.240624,1000.013454,1000.013661,78945.842497,CERN
Job12,1,67.963018,1000.012165,1000.013247,79171.803041,RRCKI
Job187,1,1016.547788,2000.024486,2000.025569,80911.080070,RAL
Job101,1,530.366939,1000.016909,1000.017991,81497.269999,GRIDKA
Job104,1,552.970969,1000.016909,1000.017991,81611.732914,GRIDKA
Job174,1,940.750313,1000.023404,1000.024486,81642.012754,RAL
Job1,1,4.051969,1000.012165,1000.013247,81990.421278,RRCKI
Job125,1,705.018007,1000.019074,1000.020156,82863.294537,IN2P3
Job185,1,995.003733,1000.023404,1000.024486,83135.524650,RAL
Job26,1,121.040428,1000.013454,1000.013661,83169.616670,CERN
Job160,1,844.958270,1000.023404,1000.024486,83606.026970,RAL
Job109,1,581.086325,1000.016909,1000.017991,83611.249929,GRIDKA
Job153,1,822.570830,1000.023404,1000.024486,83873.044194,RAL
Job31,1,139.631440,1000.013454,1000.013661,83941.950984,CERN
Job143,1,778.158558,1000.021239,1000.022321,83968.467893,PIC
Job48,1,222.747089,1000.013454,1000.013661,84343.901328,CERN
Job178,1,949.231052,1000.023404,1000.024486,84616.630327,RAL
Job92,1,466.933330,1000.014744,1000.015826,84709.151964,CNAF
Job55,1,261.285774,1000.013454,1000.013661,84793.616869,CERN
Job96,1,501.701454,1000.016909,1000.017991,85478.897362,GRIDKA
Job189,1,1020.866150,2000.024486,2000.025569,85515.657996,RAL
Job66,1,311.717794,1000.013454,1000.013661,86489.482165,CERN
Job152,1,822.126159,1000.023404,1000.024486,87039.937117,RAL
Job74,1,367.458450,1000.014744,1000.015826,87490.012609,CNAF
Job166,1,896.827461,1000.023404,1000.024486,87719.454702,RAL
Job38,1,170.556928,1000.013454,1000.013661,87911.410322,CERN
Job120,1,681.364596,1000.019074,1000.020156,87988.680602,IN2P3
Job72,1,342.593764,1000.014744,1000.015826,88176.545790,CNAF
Job3,1,30.472556,1000.012165,1000.013247,88419.679976,RRCKI
Job30,1,135.732439,1000.013454,1000.013661,88679.898856,CERN
Job127,1,713.516760,1000.019074,1000.020156,88935.288119,IN2P3
Job142,1,775.779571,1000.021239,1000.022321,89074.252652,PIC
Job119,1,667.570769,1000.019074,1000.020156,89124.567399,IN2P3
Job145,1,782.938091,1000.021239,1000.022321,89716.820974,PIC
Job79,1,414.769238,1000.014744,1000.015826,89856.236276,CNAF
Job7,1,48.951767,1000.012165,1000.013247,90127.606841,RRCKI
Job157,1,828.686192,1000.023404,1000.024486,90151.964709,RAL
Job182,1,979.168744,1000.023404,1000.024486,90344.336872,RAL
Job162,1,859.486679,1000.023404,1000.024486,90371.590501,RAL
Job140,1,771.440135,1000.019074,1000.020156,90375.826941,IN2P3
Job70,1,334.143405,1000.014744,1000.015826,90396.309393,CNAF
Job13,1,70.273759,1000.012165,1000.013247,90693.657561,RRCKI
Job146,1,786.170459,1000.021239,1000.022321,90815.033188,PIC
Job181,1,972.033526,1000.023404,1000.024486,91022.839900,RAL
Job50,1,230.379153,1000.013454,1000.013661,91354.905809,CERN
Job76,1,375.588707,1000.014744,1000.015826,91420.980964,CNAF
Job27,1,125.025101,1000.013454,1000.013661,91684.863999,CERN
Job191,1,1045.102069,2000.024486,2000.025569,92167.725726,RAL
Job42,1,199.470544,1000.013454,1000.013661,92221.207055,CERN
Job148,1,804.132417,1000.021239,1000.022321,92272.191231,PIC
Job155,1,824.172224,1000.023404,1000.024486,92717.270823,RAL
Job217,1,87568.238317,88000.059332,88046.002997,93346.946884,CERN
Job262,1,87780.445889,88000.152038,88066.193098,93392.529943,RAL
Job194,1,87466.890054,88000.053713,88014.848946,94739.064090,IN2P3
Job134,1,743.329792,1000.019074,1000.020156,95022.247503,IN2P3
Job65,1,305.410224,1000.013454,1000.013661,95032.408912,CERN
Job285,1,87896.155215,88000.154564,89420.936273,95458.573786,SARA
Job24,1,114.544916,1000.013454,1000.013661,95564.134605,CERN
Job138,1,762.953484,1000.019074,1000.020156,95961.341529,IN2P3
Job95,1,494.825280,1000.016909,1000.017991,96370.969290,GRIDKA
Job310,1,88018.056076,91000.119691,91017.255590,96613.696054,RRCKI
Job169,1,915.888814,1000.023404,1000.024486,96955.173538,RAL
Job311,1,88024.901457,91000.150594,91183.188329,97557.309222,CNAF
Job141,1,773.020408,1000.019074,1000.020156,97587.511672,IN2P3
Job39,1,179.458841,1000.013454,1000.013661,97602.292689,CERN
Job236,1,87631.605591,88000.147347,96207.232820,98305.549975,CNAF
Job25,1,117.226933,1000.013454,1000.013661,98795.095345,CERN
Job319,1,88071.107851,93000.030259,96801.766235,99327.947960,PIC
Job34,1,146.057163,1000.013454,1000.013661,100342.258888,CERN
Job21,1,109.716756,1000.013454,1000.013661,100962.358813,CERN
Job177,1,949.135545,1000.023404,1000.024486,101533.894962,RAL
Job243,1,87683.974774,88000.147347,95007.966741,101806.026410,CNAF
Job114,1,628.522770,1000.016909,1000.017991,101907.303936,GRIDKA
Job149,1,807.255328,1000.021239,1000.022321,102045.418999,PIC
Job35,1,153.177054,1000.013454,1000.013661,102232.689801,CERN
Job186,1,1005.049425,2000.024486,2000.025569,102246.844234,RAL
Job329,1,88140.910539,96000.060415,96220.625527,102475.948091,CERN
Job67,1,315.208747,1000.014744,1000.015826,102930.769693,CNAF
Job58,1,276.295650,1000.013454,1000.013661,103027.462004,CERN
Job86,1,440.046604,1000.014744,1000.015826,103863.875605,CNAF
Job219,1,87574.182930,88000.117526,88011.481198,104038.630205,RRCKI
Job130,1,718.212708,1000.019074,1000.020156,104098.567007,IN2P3
Job4,1,30.536738,1000.012165,1000.013247,104328.269837,RRCKI
Job9,1,64.427207,1000.012165,1000.013247,105006.616488,RRCKI
Job53,1,254.706016,1000.013454,1000.013661,105386.976937,CERN
Job22,1,112.760899,1000.013454,1000.013661,105460.893961,CERN
Job113,1,607.123855,1000.016909,1000.017991,105546.483885,GRIDKA
Job117,1,654.321411,1000.016909,1000.017991,105607.773511,GRIDKA
Job19,1,107.223958,1000.013454,1000.013661,106392.549990,CERN
