JobName, Success, Time start, time schedule, Time start Exec, Time End Exec, Tier
Job68,1,329.647740,1000.013454,1078.664288,5411.656374,CERN
Job82,1,430.948090,1000.013454,1087.071204,5787.308703,CERN
Job75,1,372.523977,1000.019074,1038.958916,6478.201183,IN2P3
Job99,1,510.917323,1000.014744,4099.702524,6717.940658,CNAF
Job168,1,902.676426,1000.023404,6416.879613,9269.021041,RAL
Job8,1,55.120973,1000.013454,1114.617173,18281.774063,CERN
Job56,1,262.623634,1000.019074,1038.958916,18754.774806,IN2P3
Job57,1,268.982438,1000.019074,1038.958916,18881.174041,IN2P3
Job10,1,65.470678,1000.012165,1019.339117,19221.033809,RRCKI
Job158,1,828.734344,1000.021239,1059.181605,20107.635431,PIC
Job176,1,944.800491,1000.023404,1190.610776,20213.575160,RAL
Job105,1,558.925683,1000.016909,1324.585324,20269.082143,GRIDKA
Job52,1,244.654269,1000.019074,1068.813122,21347.681603,IN2P3
Job131,1,722.320377,1000.023404,1849.785436,23876.791064,RAL
Job2,1,5.036394,1000.014744,3990.716072,23945.312947,CNAF
Job156,1,825.482505,1000.021239,1059.181605,24580.691644,PIC
Job167,1,898.038435,1000.023404,1230.074770,24617.438265,RAL
Job170,1,918.258340,1000.023404,1230.074770,24741.038098,RAL
Job124,1,695.530022,1000.016909,3635.328568,25053.813033,GRIDKA
Job51,1,242.685892,1000.016909,3680.341146,25068.674742,GRIDKA
Job59,1,278.496812,1000.014744,1362.211581,25310.392485,CNAF
Job123,1,689.124509,1000.016909,3635.328568,25429.167813,GRIDKA
Job81,1,427.371642,1000.019074,1038.958916,26609.674836,IN2P3
Job98,1,508.527804,1000.016909,1324.585324,27422.112818,GRIDKA
Job80,1,425.722323,1000.019074,1038.958916,27425.920810,IN2P3
Job84,1,433.654341,1000.016909,1324.585324,28138.001090,GRIDKA
Job106,1,559.609478,1000.014744,3767.873301,28406.058468,CNAF
Job171,1,924.815697,1000.023404,1170.434176,28501.518618,RAL
Job112,1,605.572185,1000.014744,3767.873301,29577.948496,CNAF
Job17,1,102.330377,1000.014744,3284.689939,29757.626873,CNAF
Job184,1,994.952771,1000.023404,1230.074770,29940.725738,RAL
Job116,1,647.905634,1000.016909,1324.585324,30278.159867,GRIDKA
Job45,1,211.441781,1000.016909,3680.341146,30476.636161,GRIDKA
Job129,1,716.598002,1000.023404,1849.785436,30541.161477,RAL
Job102,1,531.084159,1000.014744,3922.298204,30727.889798,CNAF
Job46,1,214.056564,1000.014744,3767.873301,30972.519990,CNAF
Job69,1,331.663103,1000.013454,1690.023870,32068.059216,CERN
Job0,1,3.196964,1000.013454,1635.417249,32108.381980,CERN
Job183,1,989.596245,1000.023404,1230.074770,32256.916528,RAL
Job87,1,446.976664,1000.016909,3262.711139,32332.024178,GRIDKA
Job73,1,343.616421,1000.016909,1324.585324,32484.866636,GRIDKA
Job103,1,542.733637,1000.014744,4099.702524,32846.589603,CNAF
Job20,1,107.238135,1000.014744,4099.702524,33235.075753,CNAF
Job188,1,1019.803282,2000.024486,11583.161236,33539.809672,RAL
Job11,1,66.690043,1000.016909,3262.711139,33787.782946,GRIDKA
Job33,1,145.651372,1000.013454,1690.023870,33830.859057,CERN
Job175,1,941.316524,1000.023404,1190.610776,33872.429596,RAL
Job63,1,297.329978,1000.016909,3262.711139,33879.979204,GRIDKA
Job23,1,113.526964,1000.014744,3990.716072,34413.108129,CNAF
Job164,1,891.892629,1000.023404,1207.175362,35417.393239,RAL
Job111,1,594.754989,1000.014744,3801.995041,35834.690877,CNAF
Job85,1,434.174205,1000.014744,3767.873301,36279.978369,CNAF
Job61,1,285.010884,1000.014744,3767.873301,36520.465583,CNAF
