JobName, Success, Time start, time schedule, Time start Exec, Time End Exec, Tier
Job41,1,276.349202,300.019281,341.769757,560.484520,CERN
Job48,1,292.829381,300.019281,319.773073,873.414572,CERN
Job52,1,332.544486,350.019488,364.474128,893.574454,CERN
Job35,1,221.261885,250.019074,270.139804,948.419996,CERN
Job68,1,401.661963,450.019902,470.304206,1099.823782,CERN
Job78,1,510.800144,550.027734,569.864988,1104.448878,CNAF
Job143,1,897.974856,900.039641,940.492184,1191.158847,RAL
Job94,1,622.992208,650.029899,669.582760,1197.073247,CNAF
Job98,1,660.384443,700.030981,725.552815,1399.188717,CNAF
Job135,1,848.557350,850.038558,863.984606,1408.531914,RAL
Job117,1,738.460618,750.034228,773.365060,1457.018875,GRIDKA
Job200,1,1196.441351,1200.064538,1207.759066,1463.148961,IN2P3
Job118,1,744.963190,750.034228,771.820298,1490.624065,GRIDKA
Job142,1,894.306063,900.039641,930.300761,1568.646246,RAL
Job7,1,51.085572,100.013247,141.620672,1648.563134,RRCKI
Job156,1,958.650834,1000.045053,1050.474687,1649.335808,RAL
Job3,1,36.559700,50.012165,81.413798,1723.944323,RRCKI
Job20,1,139.263832,150.016495,182.876206,1755.865291,SARA
Job173,1,1060.322852,1100.048301,1165.266428,1798.761886,RAL
Job12,1,85.622394,100.013247,113.410774,1848.211146,RRCKI
Job210,1,1226.444365,1250.065756,1280.245316,1913.730252,IN2P3
Job74,1,453.638877,500.020109,526.376421,2085.264488,CERN
Job88,1,586.377614,600.020316,628.577046,2154.307135,CERN
Job1,1,31.495247,50.012165,78.187168,2186.028566,RRCKI
Job58,1,361.118941,400.019695,438.844473,2284.970369,CERN
Job47,1,291.858679,300.019281,324.754371,2328.923119,CERN
Job36,1,263.174224,300.019281,307.712933,2364.571388,CERN
Job62,1,373.199669,400.019695,434.165011,2384.076343,CERN
Job90,1,587.944468,600.020316,630.407024,2450.601115,CERN
Job164,1,1010.651358,1050.047218,1177.860863,2456.827867,RAL
Job80,1,515.828317,550.027734,597.331802,2464.225488,CNAF
Job31,1,203.258170,250.019074,272.807564,2483.939055,CERN
Job56,1,354.406872,400.019695,428.207785,2572.871107,CERN
Job60,1,372.041415,400.019695,436.967799,2728.261748,CERN
Job63,1,375.168082,400.019695,428.207785,2781.953582,CERN
Job34,1,210.374315,250.019074,278.361486,2817.862022,CERN
Job66,1,385.109429,400.019695,409.252037,2820.607902,CERN
Job151,1,941.142153,950.041806,1039.462343,2834.058414,RAL
Job97,1,630.999339,650.029899,681.292985,2837.151616,CNAF
Job101,1,662.945424,700.030981,737.688155,2912.284860,CNAF
Job136,1,849.988611,850.038558,867.116276,2957.298963,RAL
Job228,1,1329.490423,2400.020730,2411.428904,2962.780913,CERN
Job51,1,314.555160,350.019488,379.518879,2982.970324,CERN
Job123,1,776.298960,800.035311,807.136983,3013.463424,GRIDKA
Job114,1,713.288839,750.034228,972.142051,3054.805681,GRIDKA
Job180,1,1093.368783,1100.054795,1109.605399,3078.827791,PIC
Job183,1,1120.747018,1150.057393,1171.844978,3105.417347,PIC
Job103,1,667.740975,700.030981,786.571434,3198.922186,CNAF
Job70,1,413.457429,450.019902,544.219519,3245.779029,CERN
Job196,1,1192.255243,1200.064538,1221.463761,3253.545696,IN2P3
Job168,1,1043.910831,1050.047218,1120.432317,3316.098684,RAL
Job137,1,850.314202,900.039641,1420.092613,3327.512261,RAL
Job154,1,953.722574,1000.045053,1112.582208,3338.585027,RAL
Job10,1,78.197816,100.013247,130.984113,3368.006419,RRCKI
Job13,1,91.517345,100.013247,235.493679,3380.348344,RRCKI
Job2,1,32.989876,50.012165,222.583150,3391.050742,RRCKI
Job177,1,1073.370034,1100.048301,1223.752060,3461.242613,RAL
Job167,1,1036.050674,1050.047218,1183.037649,3462.458898,RAL
Job185,1,1124.693402,1150.057393,1179.937740,3661.464926,PIC
Job8,1,54.004568,100.013247,135.457602,3725.651674,RRCKI
Job199,1,1195.091919,1200.064538,1223.504464,3747.407140,IN2P3
Job27,1,193.733309,200.017577,315.239102,3764.705373,SARA
Job83,1,534.815589,550.027734,676.754031,3765.703721,CNAF
Job176,1,1071.418489,1100.048301,1223.752060,3789.493065,RAL
Job187,1,1125.586984,1150.057393,1185.497895,3806.095601,PIC
Job133,1,839.944227,850.038558,1118.293616,3820.488586,RAL
Job25,1,181.663999,200.017577,233.032526,3865.146865,SARA
Job197,1,1192.911802,1200.064538,1219.032299,3874.296617,IN2P3
Job112,1,708.636237,750.034228,943.408426,3930.095700,GRIDKA
Job111,1,707.650481,750.034228,792.149363,3932.164168,GRIDKA
Job141,1,878.642772,900.039641,936.154846,4044.200088,RAL
Job217,1,1252.160146,2100.020523,2118.740159,4079.584455,CERN
Job189,1,1139.384076,1150.063455,1153.142998,4091.453061,IN2P3
Job226,1,1321.150166,2400.020730,2424.339502,4133.453500,CERN
Job15,1,100.200733,150.016495,290.121592,4182.947991,SARA
Job129,1,830.674327,850.036393,990.887985,4194.151738,GRIDKA
Job207,1,1221.278630,1250.065756,1470.265281,4240.950282,IN2P3
Job213,1,1234.345008,1800.084022,1867.163944,4254.255817,RAL
Job181,1,1112.584889,1150.057393,1267.793538,4261.270007,PIC
Job204,1,1202.759866,1250.065756,1291.783192,4273.534248,IN2P3
