Variable, loopback, directUserAmount, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, loopback, indirectUserAmount, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, loopback, bandwidth, 0.000000, 33310.527712, 33310.527712, 498000000.000000
Variable, loopback, latency, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, GRIDKA-SARA-LHCOPN-001, directUserAmount, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, GRIDKA-SARA-LHCOPN-001, indirectUserAmount, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, GRIDKA-SARA-LHCOPN-001, bandwidth, 0.000000, 33310.527712, 33310.527712, 12500000.000000
Variable, GRIDKA-SARA-LHCOPN-001, latency, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, GRIDKA-IN2P3-LHCOPN-001, traffic, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, GRIDKA-IN2P3-LHCOPN-001, directUserAmount, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, GRIDKA-IN2P3-LHCOPN-001, indirectUserAmount, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, GRIDKA-IN2P3-LHCOPN-001, bandwidth, 0.000000, 33310.527712, 33310.527712, 12500000.000000
Variable, GRIDKA-IN2P3-LHCOPN-001, latency, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, CNAF-GRIDKA-LHCOPN-001, traffic, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, CNAF-GRIDKA-LHCOPN-001, directUserAmount, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, CNAF-GRIDKA-LHCOPN-001, indirectUserAmount, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, CNAF-GRIDKA-LHCOPN-001, bandwidth, 0.000000, 33310.527712, 33310.527712, 12500000.000000
Variable, CNAF-GRIDKA-LHCOPN-001, latency, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, CERN-RRCK1-LHCOPN-001, traffic, 0.000000, 33263.666608, 33263.666608, 0.000000
Variable, CERN-RRCK1-LHCOPN-001, traffic, 33263.666608, 33310.527712, 46.861104, 3313411360.000000
Variable, CERN-RRCK1-LHCOPN-001, traffic, 33310.527712, 33310.527712, 0.000000, 3786755840.000000
Variable, CERN-RRCK1-LHCOPN-001, directUserAmount, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, CERN-RRCK1-LHCOPN-001, indirectUserAmount, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, CERN-RRCK1-LHCOPN-001, bandwidth, 0.000000, 33310.527712, 33310.527712, 12500000.000000
Variable, CERN-RRCK1-LHCOPN-001, latency, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, CERN-SARA-LHCOPN-001, traffic, 0.000000, 33263.666608, 33263.666608, 0.000000
Variable, CERN-SARA-LHCOPN-001, traffic, 33263.666608, 33310.527712, 46.861104, 473344480.000000
Variable, CERN-SARA-LHCOPN-001, directUserAmount, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, CERN-SARA-LHCOPN-001, indirectUserAmount, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, CERN-SARA-LHCOPN-001, bandwidth, 0.000000, 33310.527712, 33310.527712, 12500000.000000
Variable, CERN-SARA-LHCOPN-001, latency, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, CERN-RAL-LHCOPN-001, traffic, 0.000000, 33263.666608, 33263.666608, 0.000000
Variable, CERN-RAL-LHCOPN-001, traffic, 33263.666608, 33310.527712, 46.861104, 473344480.000000
Variable, CERN-RAL-LHCOPN-001, directUserAmount, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, CERN-RAL-LHCOPN-001, indirectUserAmount, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, CERN-RAL-LHCOPN-001, bandwidth, 0.000000, 33310.527712, 33310.527712, 12500000.000000
Variable, CERN-RAL-LHCOPN-001, latency, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, CERN-PIC-LHCOPN-001, traffic, 0.000000, 33263.666608, 33263.666608, 0.000000
Variable, CERN-PIC-LHCOPN-001, traffic, 33263.666608, 33310.527712, 46.861104, 473344480.000000
Variable, CERN-PIC-LHCOPN-001, directUserAmount, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, CERN-PIC-LHCOPN-001, indirectUserAmount, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, CERN-PIC-LHCOPN-001, bandwidth, 0.000000, 33310.527712, 33310.527712, 12500000.000000
Variable, CERN-PIC-LHCOPN-001, latency, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, CERN-IN2P3-LHCOPN-001, traffic, 0.000000, 33263.666608, 33263.666608, 0.000000
Variable, CERN-IN2P3-LHCOPN-001, traffic, 33263.666608, 33310.527712, 46.861104, 473344480.000000
Variable, CERN-IN2P3-LHCOPN-001, directUserAmount, 0.000000, 33310.527712, 33310.527712, 0.000000
