JobName, Success, Time start, time schedule, Time start Exec, Time End Exec, Tier
Job39,1,424.291621,1000.013454,1148.199608,6795.549880,CERN
Job154,1,1726.488511,2000.024486,2009.942717,7196.840116,RAL
Job47,1,514.345857,1000.013454,1129.726675,7939.170260,CERN
Job208,1,2217.227461,3000.027734,3049.614557,8417.092951,SARA
Job202,1,2164.846656,3000.027734,3065.564390,9464.439879,SARA
Job24,1,277.941768,1000.013454,1148.291883,14875.460667,CERN
Job84,1,970.926017,1000.014744,11559.869351,16976.163628,CNAF
Job46,1,510.640268,1000.013454,12286.642093,18338.945250,CERN
Job51,1,538.047431,1000.013454,11399.521191,19180.890000,CERN
Job204,1,2177.450755,3000.027734,3078.643582,22054.972841,SARA
Job61,1,635.449243,1000.013454,1048.444279,22312.197262,CERN
Job16,1,188.428830,1000.013454,16455.752958,22799.497607,CERN
Job1,1,24.935472,1000.012165,1220.679094,24988.240999,RRCKI
Job32,1,360.419244,1000.013454,1129.726675,25197.858190,CERN
Job111,1,1271.067143,2000.017991,2495.415277,25520.561567,GRIDKA
Job96,1,1057.950461,2000.017991,23704.240945,26516.144468,GRIDKA
Job124,1,1418.422494,2000.020156,22588.344715,26536.209939,IN2P3
Job120,1,1371.407731,2000.020156,2114.513360,28356.795795,IN2P3
Job81,1,964.599735,1000.014744,11559.869351,28370.194932,CNAF
Job127,1,1442.355364,2000.020156,2581.040395,30221.646098,IN2P3
Job110,1,1255.128830,2000.017991,23704.240945,30719.559492,GRIDKA
Job200,1,2149.698601,3000.027734,14667.571645,31102.662497,SARA
Job210,1,2225.418694,3000.027734,3070.548417,31377.280196,SARA
Job180,1,1952.663388,2000.024486,14290.593261,31508.279905,RAL
Job23,1,261.113214,1000.013454,1129.726675,31608.830662,CERN
Job18,1,200.619628,1000.013454,15052.181954,32446.334117,CERN
Job198,1,2133.223364,3000.027734,9896.628107,33089.889537,SARA
Job94,1,1040.340652,2000.015826,2180.507314,33489.044777,CNAF
Job54,1,568.802550,1000.013454,12049.368359,33617.665087,CERN
Job113,1,1281.473674,2000.017991,10959.045960,33784.164603,GRIDKA
Job117,1,1350.577430,2000.017991,2038.215430,34288.949016,GRIDKA
Job62,1,662.103109,1000.013454,1129.726675,34574.876128,CERN
Job169,1,1860.092290,2000.024486,9045.334847,35272.231261,RAL
Job7,1,122.722898,1000.012165,20933.292527,36338.822430,RRCKI
Job98,1,1061.053214,2000.017991,2495.415277,36587.741841,GRIDKA
Job191,1,2032.204050,3000.025569,15038.049326,37039.059887,RAL
Job71,1,809.197395,1000.014744,11559.869351,37056.549117,CNAF
Job15,1,181.103835,1000.012165,20933.292527,37503.951606,RRCKI
Job121,1,1374.150333,2000.020156,12249.002644,37712.723672,IN2P3
Job197,1,2108.465639,3000.027734,14627.282113,38274.247617,SARA
Job147,1,1635.978102,2000.022321,2019.145418,38680.888547,PIC
Job128,1,1447.088019,2000.020156,2581.040395,38992.257201,IN2P3
Job144,1,1575.874937,2000.022321,14290.564589,39428.899387,PIC
Job213,1,2254.752034,3000.027734,19466.828035,39664.595385,SARA
Job106,1,1177.691594,2000.017991,10959.045960,40149.726982,GRIDKA
Job12,1,149.990050,1000.012165,1030.332796,40992.116450,RRCKI
Job48,1,516.037413,1000.013454,24267.408073,42072.326127,CERN
Job131,1,1470.841623,2000.020156,2084.486058,43309.793543,IN2P3
Job209,1,2219.416650,3000.027734,14627.282113,43623.591840,SARA
Job135,1,1496.032987,2000.020156,15852.189676,44786.798218,IN2P3
Job31,1,339.908219,1000.013454,1129.726675,45090.854093,CERN
Job63,1,685.972420,1000.013454,24267.408073,45196.036576,CERN
Job35,1,391.243305,1000.013454,41529.211912,46180.583781,CERN
Job159,1,1756.780443,2000.024486,27646.208762,46590.713664,RAL
Job224,1,2323.649451,33000.013868,44497.508826,46638.279857,CERN
Job206,1,2202.844318,3000.027734,3065.564390,46868.715882,SARA
Job0,1,4.630491,1000.012165,26424.258330,49124.288349,RRCKI
Job156,1,1734.931092,2000.024486,34263.353628,50060.180832,RAL
Job87,1,989.490182,1000.014744,20036.044596,50760.201638,CNAF
Job194,1,2059.546638,3000.025569,34234.163958,51541.426406,RAL
Job217,1,2264.523023,20000.013661,23117.570245,51697.062374,CERN
Job80,1,916.349672,1000.014744,1035.115068,53050.095783,CNAF
Job21,1,231.614561,1000.013454,1000.013661,53552.969437,CERN
Job88,1,1002.545688,2000.015826,10862.056766,54093.041855,CNAF
Job83,1,966.243644,1000.014744,1034.883114,54989.413036,CNAF
Job116,1,1339.874835,2000.017991,32274.910752,55864.193597,GRIDKA
Job38,1,416.596204,1000.013454,41529.211912,56674.379941,CERN
Job115,1,1325.776311,2000.017991,24637.661440,58088.830343,GRIDKA
Job138,1,1524.037707,2000.020156,9093.673752,59546.052692,IN2P3
Job14,1,165.689428,1000.012165,40566.887467,59860.271939,RRCKI
Job55,1,569.421112,1000.013454,10359.537505,60096.465093,CERN
Job233,1,2411.059376,35000.019074,36715.264811,60594.608922,GRIDKA
Job50,1,526.962677,1000.013454,1000.013661,60726.920010,CERN
Job185,1,2016.707885,3000.025569,34234.163958,60754.888224,RAL
Job69,1,782.921626,1000.014744,40569.775713,61440.882304,CNAF
Job236,1,2429.346156,39000.021239,42499.480261,61463.208567,IN2P3
Job148,1,1637.380373,2000.022321,7520.285809,61498.836822,PIC
Job267,1,2810.503968,57000.014282,58839.566870,61756.592065,CERN
Job125,1,1419.288354,2000.020156,2084.486058,62393.709808,IN2P3
Job30,1,333.945882,1000.013454,41529.211912,63751.556114,CERN
Job215,1,2259.578023,20000.013661,38230.746931,64529.004417,CERN
Job112,1,1271.646960,2000.017991,21385.595435,64634.875895,GRIDKA
Job218,1,2268.062586,20000.013661,21839.566249,64757.114267,CERN
Job203,1,2175.506653,3000.027734,14667.571645,65236.012093,SARA
Job70,1,798.121059,1000.014744,35503.689290,65631.968097,CNAF
Job137,1,1504.709351,2000.020156,2000.021239,66320.347218,IN2P3
Job229,1,2383.162938,35000.019074,35224.536473,67333.016727,GRIDKA
Job52,1,548.742824,1000.013454,1000.013661,68418.462538,CERN
Job249,1,2563.023297,47000.030169,47016.427871,68755.337024,SARA
Job41,1,427.937379,1000.013454,41547.146210,69013.030037,CERN
Job246,1,2536.646860,47000.026651,47208.817769,69272.768687,RAL
Job49,1,525.487604,1000.013454,12049.368359,70243.540501,CERN
Job3,1,74.773772,1000.012165,21751.898620,70940.596696,RRCKI
Job5,1,117.161352,1000.012165,15692.846280,71314.870118,RRCKI
Job263,1,2762.595227,51000.016909,56384.120976,72527.185679,CNAF
Job152,1,1689.265358,2000.024486,2000.025569,72708.337811,RAL
Job74,1,854.326245,1000.014744,1000.015826,72789.266986,CNAF
Job234,1,2411.159095,39000.021239,39230.170545,73232.018640,IN2P3
Job143,1,1575.325645,2000.022321,2000.023404,73616.774168,PIC
