Variable, loopback, directUserAmount, 0.000000, 518400.000000, 518400.000000, 0.000000
Variable, loopback, indirectUserAmount, 0.000000, 518400.000000, 518400.000000, 0.000000
Variable, loopback, bandwidth, 0.000000, 518400.000000, 518400.000000, 498000000.000000
Variable, loopback, latency, 0.000000, 518400.000000, 518400.000000, 0.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 0.000000, 685.878226, 685.878226, 0.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 685.878226, 4376.266281, 3690.388055, 3771377408.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 4376.266281, 4571.012381, 194.746100, 3866863432.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 4571.012381, 4880.050250, 309.037869, 3946591992.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 4880.050250, 11411.552292, 6531.502042, 4010345272.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 11411.552292, 20290.434054, 8878.881762, 4072637328.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 20290.434054, 20459.384829, 168.950775, 4161864472.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 20459.384829, 21071.483069, 612.098240, 64062522136.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 21071.483069, 22584.885201, 1513.402132, 95655592728.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 22584.885201, 30325.373621, 7740.488420, 129404189464.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 30325.373621, 31976.990639, 1651.617018, 129477526472.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 31976.990639, 32045.159628, 68.168989, 134487198152.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 32045.159628, 36430.232635, 4385.073007, 165625649608.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 36430.232635, 36634.371744, 204.139109, 165699604528.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 36634.371744, 38567.805888, 1933.434144, 170709276208.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 38567.805888, 41322.829745, 2755.023857, 170774017284.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 41322.829745, 44603.384337, 3280.554592, 186582523140.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 44603.384337, 45238.122679, 634.738342, 186670024244.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 45238.122679, 46799.807036, 1561.684357, 186751779508.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 46799.807036, 47540.316992, 740.509956, 186825205956.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 47540.316992, 48334.400475, 794.083483, 202633711812.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 48334.400475, 51039.508351, 2705.107876, 218442217668.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 51039.508351, 53022.127968, 1982.619617, 218512267900.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 53022.127968, 54470.005405, 1447.877437, 218611761260.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 54470.005405, 57505.908379, 3035.902974, 218691852564.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 57505.908379, 58450.838961, 944.930582, 252611674388.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 58450.838961, 58643.276550, 192.437589, 283750125844.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 58643.276550, 59570.316366, 927.039816, 315286573332.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 59570.316366, 61490.826595, 1920.510229, 315376754564.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 61490.826595, 63039.314390, 1548.487795, 319166337924.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 63039.314390, 64224.264337, 1184.949947, 319252847780.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 64224.264337, 64758.376053, 534.111716, 319329133412.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 64758.376053, 65402.146381, 643.770328, 319393520096.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 65402.146381, 70420.636161, 5018.489780, 350670176736.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 70420.636161, 71332.282704, 911.646543, 350749422824.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 71332.282704, 73670.601513, 2338.318809, 350816369904.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 73670.601513, 74216.333375, 545.731862, 350893075088.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 74216.333375, 77111.294760, 2894.961385, 351084698480.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 77111.294760, 78538.481579, 1427.186819, 351172409608.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 78538.481579, 79221.563609, 683.082030, 351259461840.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 79221.563609, 82855.420991, 3633.857382, 351337745408.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 82855.420991, 82917.172846, 61.751855, 351420623368.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 82917.172846, 83171.353835, 254.180989, 351500879880.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 83171.353835, 83657.260978, 485.907143, 353368886664.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 83657.260978, 86824.459215, 3167.198237, 353450011032.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 86824.459215, 87313.013297, 488.554082, 353505501184.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 87313.013297, 88801.657626, 1488.644329, 379567388672.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 88801.657626, 97172.279424, 8370.621798, 379651619936.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 97172.279424, 98890.974777, 1718.695353, 379732159080.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 98890.974777, 99961.847027, 1070.872250, 416416463464.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 99961.847027, 103179.719703, 3217.872676, 416594557000.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 103179.719703, 104983.686107, 1803.966404, 416685305752.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 104983.686107, 105487.020560, 503.334453, 420927006872.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 105487.020560, 106226.456239, 739.435679, 421009187976.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 106226.456239, 106461.144428, 234.688189, 454446496904.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 106461.144428, 107823.271709, 1362.127281, 454544741344.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 107823.271709, 108158.650755, 335.379046, 459754645984.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 108158.650755, 109977.162635, 1818.511880, 459849487192.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 109977.162635, 111465.407793, 1488.245158, 459937014136.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 111465.407793, 116030.770279, 4565.362486, 464831358840.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 116030.770279, 117786.580175, 1755.809896, 464913272736.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 117786.580175, 119645.773152, 1859.192977, 465024808536.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 119645.773152, 119969.357708, 323.584556, 465106385392.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 119969.357708, 123117.373169, 3148.015461, 465188384912.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 123117.373169, 127086.032183, 3968.659014, 465270578256.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 127086.032183, 130964.356393, 3878.324210, 470480482896.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 130964.356393, 133311.559847, 2347.203454, 470568919056.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 133311.559847, 137214.351523, 3902.791676, 470657869000.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 137214.351523, 141028.746776, 3814.395253, 470743099432.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 141028.746776, 145480.395173, 4451.648397, 470827975912.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 145480.395173, 149041.235534, 3560.840361, 470908385008.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 149041.235534, 166847.322481, 17806.086947, 470978777952.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 166847.322481, 167874.447866, 1027.125385, 471064971272.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 167874.447866, 168075.591692, 201.143826, 471128600776.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 168075.591692, 170790.859955, 2715.268263, 471256124936.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 170790.859955, 180747.439451, 9956.579496, 471333525800.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 180747.439451, 211859.796393, 31112.356942, 471416384576.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 211859.796393, 216298.528067, 4438.731674, 471505266328.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 216298.528067, 270664.182158, 54365.654091, 471596008896.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 270664.182158, 282561.822369, 11897.640211, 471670966944.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 282561.822369, 284440.115346, 1878.292977, 471730380356.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 284440.115346, 290963.441200, 6523.325854, 471822026580.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 290963.441200, 292059.723185, 1096.281985, 471905778412.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 292059.723185, 298913.546267, 6853.823082, 471996576580.000000
Variable, GRIDKA-SARA-LHCOPN-001, traffic, 298913.546267, 518400.000000, 219486.453733, 472063537180.000000
Variable, GRIDKA-SARA-LHCOPN-001, directUserAmount, 0.000000, 518400.000000, 518400.000000, 0.000000
Variable, GRIDKA-SARA-LHCOPN-001, indirectUserAmount, 0.000000, 518400.000000, 518400.000000, 0.000000
Variable, GRIDKA-SARA-LHCOPN-001, bandwidth, 0.000000, 518400.000000, 518400.000000, 12500000.000000
Variable, GRIDKA-SARA-LHCOPN-001, latency, 0.000000, 518400.000000, 518400.000000, 0.000000
Variable, GRIDKA-IN2P3-LHCOPN-001, traffic, 0.000000, 685.878226, 685.878226, 0.000000
Variable, GRIDKA-IN2P3-LHCOPN-001, traffic, 685.878226, 2257.634326, 1571.756100, 3771377408.000000
Variable, GRIDKA-IN2P3-LHCOPN-001, traffic, 2257.634326, 2496.250714, 238.616388, 6706511872.000000
Variable, GRIDKA-IN2P3-LHCOPN-001, traffic, 2496.250714, 3999.862158, 1503.611444, 13087627264.000000
Variable, GRIDKA-IN2P3-LHCOPN-001, traffic, 3999.862158, 4376.266281, 376.404123, 13178432128.000000
Variable, GRIDKA-IN2P3-LHCOPN-001, traffic, 4376.266281, 4571.012381, 194.746100, 13369404176.000000
Variable, GRIDKA-IN2P3-LHCOPN-001, traffic, 4571.012381, 11411.552292, 6840.539911, 13449132736.000000
Variable, GRIDKA-IN2P3-LHCOPN-001, traffic, 11411.552292, 12192.336673, 780.784381, 13573716848.000000
