JobName, Success, Time start, time schedule, Time start Exec, Time End Exec, Tier, Type
Job146,1,0.000000,0.020156,4.213103,30.497593,PIC,TURBO
Job191,1,0.000000,0.022321,8.754188,36.537233,RAL,TURBO
Job116,1,0.000000,0.015826,2570.825446,2599.017506,GRIDKA,TURBO
Job112,1,0.000000,0.015826,6.889310,2705.424077,GRIDKA,DATARECONSTRUCTION
Job163,1,0.000000,0.022321,2725.926709,3023.677404,RAL,MCRECONSTRUCTION
Job204,1,0.000000,0.024486,7.056510,3153.159162,SARA,USER
Job48,1,0.000000,0.012372,3.939974,3217.543023,CERN,DATARECONSTRUCTION
Job138,1,0.000000,0.017991,155.617319,3418.079750,IN2P3,USER
Job123,1,0.000000,0.017991,19.135095,3459.311225,IN2P3,USER
Job106,1,0.000000,0.015826,7.417918,3470.501070,GRIDKA,USER
Job120,1,0.000000,0.017991,18.345476,3581.078317,IN2P3,DATARECONSTRUCTION
Job110,1,0.000000,0.015826,3318.947492,3701.158648,GRIDKA,MCRECONSTRUCTION
Job213,1,0.000000,0.024486,61.379511,3902.675333,SARA,DATARECONSTRUCTION
Job183,1,0.000000,0.022321,110.723330,4182.708128,RAL,USER
Job35,1,0.000000,0.012372,1898.509949,4228.803082,CERN,DATARECONSTRUCTION
Job137,1,0.000000,0.017991,148.564216,4272.432438,IN2P3,DATARECONSTRUCTION
Job60,1,0.000000,0.012372,1898.509949,4432.375621,CERN,USER
Job224,1,0.000000,4000.024486,4024.777212,4443.817905,RAL,MCRECONSTRUCTION
Job4,1,0.000000,0.011082,1820.332165,4644.844187,RRCKI,DATARECONSTRUCTION
Job190,1,0.000000,0.022321,105.226302,4751.610259,RAL,USER
Job203,1,0.000000,0.024486,61.379511,4865.207370,SARA,USER
Job63,1,0.000000,0.012372,1906.769269,4988.649421,CERN,DATARECONSTRUCTION
Job90,1,0.000000,0.013661,2224.517244,5061.725030,CNAF,DATARECONSTRUCTION
Job188,1,0.000000,0.022321,105.191818,5157.967559,RAL,USER
Job96,1,0.000000,0.015826,27.649824,5178.761415,GRIDKA,USER
Job76,1,0.000000,0.013661,1634.286320,5179.254206,CNAF,USER
Job215,1,0.000000,1000.023404,1002.417362,5245.843124,RAL,DATARECONSTRUCTION
Job214,1,0.000000,1000.021239,2771.912784,5318.769239,PIC,DATARECONSTRUCTION
Job173,1,0.000000,0.022321,2770.932913,5327.540099,RAL,DATARECONSTRUCTION
Job139,1,0.000000,0.017991,153.737696,5447.203467,IN2P3,USER
Job149,1,0.000000,0.020156,5.345922,5467.079260,PIC,USER
Job124,1,0.000000,0.017991,145.348337,5489.619669,IN2P3,USER
Job189,1,0.000000,0.022321,110.723330,5523.330047,RAL,USER
Job209,1,0.000000,0.024486,2329.511698,5540.848879,SARA,DATARECONSTRUCTION
Job129,1,0.000000,0.017991,159.235153,5557.179474,IN2P3,USER
Job58,1,0.000000,0.012372,4.108859,5557.487150,CERN,USER
Job7,1,0.000000,0.011082,2224.340914,5603.553921,RRCKI,DATARECONSTRUCTION
Job3,1,0.000000,0.011082,53.775454,5688.288549,RRCKI,USER
Job186,1,0.000000,0.022321,2770.932913,5716.021437,RAL,DATARECONSTRUCTION
Job73,1,0.000000,0.013661,22.801754,5814.839075,CNAF,USER
Job147,1,0.000000,0.020156,30.263869,5995.112605,PIC,USER
Job136,1,0.000000,0.017991,145.348337,6052.388291,IN2P3,USER
Job244,1,0.000000,6000.022321,6002.578508,6059.307733,IN2P3,DATASTRIPPING
Job53,1,0.000000,0.012372,1901.792585,6171.143328,CERN,USER
Job5,1,0.000000,0.011082,53.775454,6352.994170,RRCKI,USER
