epoch,MCSIMULATION,USER,DATASTRIPPING,DATARECONSTRUCTION,MERGE,MCRECONSTRUCTION,TURBO,MCStripping,MCMERGE
0,9.049,1.359,0.021,0.959,0.005,0.106,0.026,0.0,0.0,
1,9.037,1.366,0.026,0.967,0.012,0.109,0.012,0.0,0.0,
2,9.108,1.385,0.019,0.979,0.006,0.109,0.012,0.0,0.0,
3,9.1,1.337,0.024,0.993,0.005,0.106,0.011,0.003,0.0,
4,9.129,1.352,0.019,0.982,0.007,0.109,0.016,0.0,0.0,
5,9.004,1.342,0.023,0.978,0.0,0.104,0.014,0.013,0.0,
6,9.174,1.357,0.025,0.966,0.007,0.107,0.011,0.013,0.0,
7,9.013,1.335,0.024,0.98,0.007,0.11,0.012,0.004,0.0,
8,9.02,1.35,0.02,0.961,0.011,0.113,0.01,0.0,0.0,
9,9.004,1.341,0.021,0.975,0.01,0.101,0.013,0.0,0.0,
10,9.115,1.362,0.026,0.988,0.012,0.108,0.009,0.012,0.0,
11,9.026,1.353,0.023,0.957,0.007,0.107,0.011,0.0,0.0,
12,9.034,1.344,0.023,0.957,0.007,0.109,0.014,0.003,0.0,
13,9.179,1.378,0.035,0.971,0.011,0.102,0.013,0.0,0.0,
