epoch,MCSIMULATION,USER,DATASTRIPPING,DATARECONSTRUCTION,MERGE,MCRECONSTRUCTION,TURBO,MCStripping,MCMERGE
0,9.002,2.968,0.021,1.97,0.294,1.366,3.547,0.0,0.0,
1,9.107,3.078,4.77,2.449,1.187,2.779,2.756,0.0,0.0,
2,9.086,3.823,0.874,2.625,0.102,0.398,2.755,0.0,0.0,
3,9.128,3.12,0.42,2.377,0.005,1.363,0.743,0.0,0.0,
4,9.097,2.65,0.097,2.034,0.241,1.012,0.42,0.429,0.0,
5,9.043,3.147,1.158,2.43,0.0,1.369,1.726,0.0,0.0,
6,9.041,3.417,0.794,2.563,0.0,2.237,1.37,4.542,0.0,
7,9.183,3.621,3.307,3.02,0.048,2.297,2.135,2.936,0.0,
8,9.001,2.994,3.525,2.759,0.146,0.866,0.364,0.004,0.0,
9,9.053,3.249,0.072,2.412,0.045,1.867,4.692,0.0,0.0,
10,8.964,2.322,0.158,1.718,0.003,1.121,1.84,0.0,0.0,
11,9.123,3.086,0.465,2.417,2.6,1.923,0.973,0.011,0.0,
12,9.001,2.917,0.604,2.195,1.712,1.609,1.049,0.0,0.0,
13,9.08,3.13,2.851,2.228,1.706,2.707,1.657,0.0,0.0,
14,9.088,3.088,0.537,2.119,0.495,0.564,1.139,0.073,0.0,
15,9.161,4.051,4.317,3.814,0.0,2.353,0.03,0.0,0.0,
